<s>            | dit            | 0.00100389495492-> 9.989966e-01   | 
zijn           | we             | 0.000666871317662-> 9.993333e-01   | 
we             | er             | 0.00273396354169-> 9.972697e-01   | 
er             | </s>           | 0.00821795873344-> 9.918157e-01   | 
</s>           | <s>            | 0.499471575022 -> 6.068513e-01   | 
<s>            | John           | 1.9779894501e-05-> 9.999802e-01   | 
John           | <UNK>          | 0.015784079209 -> 9.843398e-01   | 
<UNK>          | op             | 0.00502442615107-> 9.949882e-01   | 
op             | de             | 0.0756487771869-> 9.271418e-01   | 
de             | US             | 5.76111415285e-05-> 9.999424e-01   | 
US             | Open           | 9.25371714402e-05-> 9.999075e-01   | 
Open           | van            | 0.0295960698277-> 9.708376e-01   | 
van            | dit            | 0.000800575420726-> 9.991997e-01   | 
dit            | jaar           | 0.00128976732958-> 9.987110e-01   | 
jaar           | </s>           | 0.00831737089902-> 9.917171e-01   | 
</s>           | <s>            | 0.49951583147  -> 6.068244e-01   | 
<s>            | de             | 0.0993641167879-> 9.054130e-01   | 
de             | achtste        | 3.12829761242e-05-> 9.999687e-01   | 
achtste        | hole           | 2.2700165573e-05-> 9.999773e-01   | 
hole           | op             | 0.00473500601947-> 9.952762e-01   | 
op             | de             | 0.0747466832399-> 9.279785e-01   | 
de             | baan           | 6.93363181199e-05-> 9.999307e-01   | 
baan           | van            | 0.0337592028081-> 9.668043e-01   | 
van            | <UNK>          | 0.0146549297497-> 9.854519e-01   | 
<UNK>          | No             | 6.75669161865e-06-> 9.999933e-01   | 
No             | </s>           | 0.00817793328315-> 9.918554e-01   | 
</s>           | <s>            | 0.499511599541 -> 6.068270e-01   | 
<s>            | een            | 0.0127262566239-> 9.873544e-01   | 
een            | par            | 1.63519653142e-05-> 9.999837e-01   | 
par            | vier           | 0.000456896785181-> 9.995432e-01   | 
vier           | komma          | 0.000382031081244-> 9.996181e-01   | 
komma          | en             | 0.00647995760664-> 9.935410e-01   | 
en             | niet           | 0.00319276587106-> 9.968123e-01   | 
niet           | eens           | 0.000243655260419-> 9.997564e-01   | 
eens           | een            | 0.0106033561751-> 9.894527e-01   | 
een            | moeilijke      | 2.24187060667e-05-> 9.999776e-01   | 
moeilijke      | </s>           | 0.00885870866477-> 9.911804e-01   | 
</s>           | <s>            | 0.499441534281 -> 6.068695e-01   | 
<s>            | elf            | 7.63605785323e-05-> 9.999236e-01   | 
elf            | slagen         | 1.9609087758e-05-> 9.999804e-01   | 
slagen         | had            | 0.00167461088859-> 9.983268e-01   | 
had            | hij            | 0.00304289232008-> 9.969617e-01   | 
hij            | nodig          | 0.000254261161899-> 9.997458e-01   | 
nodig          | </s>           | 0.00796005222946-> 9.920716e-01   | 
</s>           | <s>            | 0.499483644962 -> 6.068439e-01   | 
<s>            | elf            | 7.63613352319e-05-> 9.999236e-01   | 
elf            | </s>           | 0.00543982163072-> 9.945750e-01   | 
</s>           | <s>            | 0.498208880424 -> 6.076180e-01   | 
<s>            | waaronder      | 9.16118278838e-06-> 9.999908e-01   | 
waaronder      | twee           | 0.00107491854578-> 9.989257e-01   | 
twee           | <UNK>          | 0.0157922115177-> 9.843318e-01   | 
<UNK>          | omdat          | 0.000659697863739-> 9.993405e-01   | 
omdat          | hij            | 0.00296348100528-> 9.970409e-01   | 
hij            | van            | 0.0295930542052-> 9.708405e-01   | 
van            | <UNK>          | 0.0147355897352-> 9.853724e-01   | 
<UNK>          | op             | 0.00535221071914-> 9.946621e-01   | 
op             | een            | 0.0126702226698-> 9.874097e-01   | 
een            | <UNK>          | 0.0187441334128-> 9.814305e-01   | 
<UNK>          | bal            | 4.03616213589e-05-> 9.999596e-01   | 
bal            | had            | 0.00175629276782-> 9.982452e-01   | 
had            | <UNK>          | 0.013884329237 -> 9.862116e-01   | 
<UNK>          | </s>           | 0.00815216545016-> 9.918810e-01   | 
</s>           | <s>            | 0.499516487122 -> 6.068240e-01   | 
<s>            | toen           | 0.00091415893985-> 9.990863e-01   | 
toen           | hij            | 0.00368426227942-> 9.963225e-01   | 
hij            | na             | 0.00132504827343-> 9.986758e-01   | 
na             | zijn           | 0.00748364254832-> 9.925443e-01   | 
zijn           | achtste        | 2.73793411907e-05-> 9.999726e-01   | 
achtste        | shot           | 2.76920909528e-05-> 9.999723e-01   | 
shot           | eindelijk      | 1.52660468302e-05-> 9.999847e-01   | 
eindelijk      | op             | 0.00489968713373-> 9.951123e-01   | 
op             | de             | 0.0757221281528-> 9.270738e-01   | 
de             | green          | 1.63730837812e-05-> 9.999836e-01   | 
green          | lag            | 1.91291383089e-05-> 9.999809e-01   | 
lag            | waar           | 0.000449656537967-> 9.995505e-01   | 
waar           | hij            | 0.00271856016479-> 9.972851e-01   | 
hij            | met            | 0.00468781683594-> 9.953232e-01   | 
met            | zijn           | 0.00772732077166-> 9.923025e-01   | 
zijn           | tweede         | 0.000298086990369-> 9.997020e-01   | 
tweede         | dwars          | 9.01619659999e-06-> 9.999910e-01   | 
dwars          | doorheen       | 1.66432673723e-05-> 9.999834e-01   | 
doorheen       | was            | 0.00300783570856-> 9.969967e-01   | 
was            | <UNK>          | 0.0130002936348-> 9.870839e-01   | 
<UNK>          | had            | 0.00189690350089-> 9.981049e-01   | 
had            | hij            | 0.00286732893437-> 9.971368e-01   | 
hij            | nog            | 0.00311350496486-> 9.968913e-01   | 
nog            | eens           | 0.000244534661761-> 9.997555e-01   | 
eens           | drie           | 0.000544924580026-> 9.994552e-01   | 
drie           | <UNK>          | 0.0144321890548-> 9.856715e-01   | 
<UNK>          | nodig          | 0.000254373589996-> 9.997457e-01   | 
nodig          | </s>           | 0.00814603082836-> 9.918870e-01   | 
</s>           | <s>            | 0.499529749155 -> 6.068159e-01   | 
<s>            | lezers         | 8.9003588073e-06-> 9.999911e-01   | 
lezers         | van            | 0.0156049551442-> 9.845161e-01   | 
van            | Knack          | 2.66654569714e-05-> 9.999734e-01   | 
Knack          | kennen         | 1.42777707879e-05-> 9.999857e-01   | 
kennen         | John           | 2.17652086576e-05-> 9.999782e-01   | 
John           | <UNK>          | 0.0144700650126-> 9.856341e-01   | 
<UNK>          | wij            | 0.000112173729576-> 9.998878e-01   | 
wij            | hebben         | 0.00108497135807-> 9.989156e-01   | 
hebben         | u              | 0.000220115223783-> 9.997799e-01   | 
u              | al             | 0.00151651271153-> 9.984846e-01   | 
al             | meermaals      | 1.29774807647e-05-> 9.999870e-01   | 
meermaals      | over           | 0.00285842409357-> 9.971457e-01   | 
over           | hem            | 0.00101089279633-> 9.989896e-01   | 
hem            | verteld        | 1.07136183942e-05-> 9.999893e-01   | 
verteld        | </s>           | 0.00825180765241-> 9.917821e-01   | 
</s>           | <s>            | 0.499533504248 -> 6.068137e-01   | 
<s>            | een            | 0.0127262584865-> 9.873544e-01   | 
een            | <UNK>          | 0.0153377028182-> 9.847793e-01   | 
<UNK>          | buiten         | 2.1549025405e-05-> 9.999784e-01   | 
buiten         | categorie      | 1.68360147654e-05-> 9.999832e-01   | 
categorie      | die            | 0.00330063421279-> 9.967048e-01   | 
die            | in             | 0.00861979741603-> 9.914172e-01   | 
in             | negentien      | 0.00191563623957-> 9.980862e-01   | 
negentien      | honderd        | 0.00353314727545-> 9.964731e-01   | 
honderd        | één-en       | 0.000388882210245-> 9.996112e-01   | 
één-en       | negentig       | 0.00101140898187-> 9.989891e-01   | 
negentig       | door           | 0.00216465792619-> 9.978377e-01   | 
door           | de             | 0.0664453729987-> 9.357140e-01   | 
de             | vele           | 6.10623392276e-05-> 9.999390e-01   | 
vele           | forfaits       | 1.06786401375e-05-> 9.999893e-01   | 
forfaits       | per            | 7.89400728536e-05-> 9.999211e-01   | 
per            | ongeluk        | 1.26173981698e-05-> 9.999874e-01   | 
ongeluk        | in             | 0.00924097560346-> 9.908016e-01   | 
in             | de             | 0.0749666914344-> 9.277744e-01   | 
de             | <UNK>          | 0.0186869688332-> 9.814866e-01   | 
<UNK>          | van            | 0.038652356714 -> 9.620851e-01   | 
van            | de             | 0.0651330947876-> 9.369428e-01   | 
de             | US             | 5.76979218749e-05-> 9.999423e-01   | 
US             | <UNK>          | 0.0132610425353-> 9.868265e-01   | 
<UNK>          | op             | 0.00520098907873-> 9.948125e-01   | 
op             | <UNK>          | 0.0131162730977-> 9.869694e-01   | 
<UNK>          | <UNK>          | 0.0155466105789-> 9.845736e-01   | 
<UNK>          | geraakte       | 1.28293468151e-05-> 9.999872e-01   | 
geraakte       | </s>           | 0.00809704326093-> 9.919357e-01   | 
</s>           | <s>            | 0.499526828527 -> 6.068177e-01   | 
<s>            | <UNK>          | 0.0165930762887-> 9.835438e-01   | 
<UNK>          | pas            | 0.00011936797091-> 9.998806e-01   | 
pas            | in             | 0.00871599558741-> 9.913219e-01   | 
in             | extremis       | 8.75309706316e-06-> 9.999912e-01   | 
extremis       | opgeroepen     | 9.34549098019e-06-> 9.999906e-01   | 
opgeroepen     | kwam           | 0.000312459713314-> 9.996876e-01   | 
kwam           | net            | 0.000120235286886-> 9.998798e-01   | 
net            | op             | 0.00489117810503-> 9.951208e-01   | 
op             | tijd           | 0.000427300226875-> 9.995728e-01   | 
tijd           | in             | 0.009213257581 -> 9.908291e-01   | 
in             | Indianapolis   | 5.23734524904e-06-> 9.999948e-01   | 
Indianapolis   | aan            | 0.00235429825261-> 9.976485e-01   | 
aan            | om             | 0.00329933222383-> 9.967061e-01   | 
om             | van            | 0.0331916846335-> 9.673531e-01   | 
van            | start          | 2.32454876823e-05-> 9.999768e-01   | 
start          | te             | 0.00699697528034-> 9.930274e-01   | 
te             | kunnen         | 0.000803817936685-> 9.991965e-01   | 
kunnen         | gaan           | 0.00035326188663-> 9.996468e-01   | 
gaan           | in             | 0.0091443778947-> 9.908973e-01   | 
in             | de             | 0.0747627466917-> 9.279636e-01   | 
de             | eerste         | 0.000669904868118-> 9.993303e-01   | 
eerste         | ronde          | 4.01009383495e-05-> 9.999599e-01   | 
ronde          | moest          | 0.000509217730723-> 9.994909e-01   | 
moest          | clubs          | 1.70410694409e-05-> 9.999830e-01   | 
clubs          | en             | 0.00674369791523-> 9.932790e-01   | 
en             | een            | 0.00837165117264-> 9.916633e-01   | 
een            | <UNK>          | 0.0176019072533-> 9.825521e-01   | 
<UNK>          | lenen          | 7.01158660377e-06-> 9.999930e-01   | 
lenen          | en             | 0.00686621898785-> 9.931573e-01   | 
en             | won            | 5.91606585658e-05-> 9.999408e-01   | 
won            | tot            | 0.00217949016951-> 9.978229e-01   | 
tot            | <UNK>          | 0.0149626834318-> 9.851487e-01   | 
<UNK>          | verbijstering  | 8.99718179426e-06-> 9.999910e-01   | 
verbijstering  | het            | 0.00237074308097-> 9.976321e-01   | 
het            | toernooi       | 9.41948965192e-05-> 9.999058e-01   | 
toernooi       | </s>           | 0.00887978915125-> 9.911595e-01   | 
</s>           | <s>            | 0.499477267265 -> 6.068478e-01   | 
<s>            | John           | 1.97799090529e-05-> 9.999802e-01   | 
John           | wie            | 0.000308534537908-> 9.996915e-01   | 
wie            | zonder         | 0.000452740787296-> 9.995474e-01   | 
zonder         | zonde          | 2.65560975095e-05-> 9.999734e-01   | 
zonde          | is             | 0.00635686749592-> 9.936633e-01   | 
is             | <UNK>          | 0.0137361809611-> 9.863577e-01   | 
<UNK>          | de             | 0.0676367282867-> 9.345999e-01   | 
de             | eerste         | 0.000669013475999-> 9.993312e-01   | 
eerste         | steen          | 7.90657213656e-06-> 9.999921e-01   | 
steen          | raakte         | 1.11370018203e-05-> 9.999889e-01   | 
raakte         | daarna         | 2.84310390271e-05-> 9.999716e-01   | 
daarna         | aan            | 0.00226561329328-> 9.977369e-01   | 
aan            | de             | 0.0753783881664-> 9.273925e-01   | 
de             | drank          | 2.37508702412e-05-> 9.999763e-01   | 
drank          | </s>           | 0.00892612524331-> 9.911136e-01   | 
</s>           | <s>            | 0.499413818121 -> 6.068863e-01   | 
<s>            | hij            | 0.00856432318687-> 9.914722e-01   | 
hij            | stelde         | 4.68049329356e-05-> 9.999532e-01   | 
stelde         | zich           | 0.00124839507043-> 9.987524e-01   | 
zich           | gewelddadig    | 1.4858049326e-05-> 9.999852e-01   | 
gewelddadig    | op             | 0.00489546684548-> 9.951165e-01   | 
op             | tegen          | 0.000773213163484-> 9.992271e-01   | 
tegen          | zijn           | 0.00790429860353-> 9.921269e-01   | 
zijn           | eerste         | 0.000824471877422-> 9.991758e-01   | 
eerste         | vervolgens     | 1.76908179128e-05-> 9.999823e-01   | 
vervolgens     | tegen          | 0.000766086275689-> 9.992342e-01   | 
tegen          | zijn           | 0.00781544670463-> 9.922150e-01   | 
zijn           | tweede         | 0.000297909980873-> 9.997022e-01   | 
tweede         | en             | 0.00670041562989-> 9.933220e-01   | 
en             | tenslotte      | 1.19093883768e-05-> 9.999881e-01   | 
tenslotte      | tegen          | 0.000765375676565-> 9.992349e-01   | 
tegen          | zijn           | 0.00779456784949-> 9.922357e-01   | 
zijn           | derde          | 4.00074350182e-05-> 9.999600e-01   | 
derde          | echtgenote     | 1.62688593264e-05-> 9.999837e-01   | 
echtgenote     | volgde         | 1.21994253277e-05-> 9.999878e-01   | 
volgde         | een            | 0.0109327835962-> 9.891267e-01   | 
een            | <UNK>          | 0.018128734082 -> 9.820346e-01   | 
<UNK>          | in             | 0.00976272672415-> 9.902848e-01   | 
in             | de             | 0.0732284039259-> 9.293885e-01   | 
de             | Betty          | 1.35782156576e-05-> 9.999864e-01   | 
Betty          | Ford           | 2.49652675848e-05-> 9.999750e-01   | 
Ford           | kliniek        | 7.18379806131e-06-> 9.999928e-01   | 
kliniek        | zwoer          | 3.21090628859e-05-> 9.999679e-01   | 
zwoer          | de             | 0.0605555362999-> 9.412415e-01   | 
de             | drank          | 2.381579543e-05-> 9.999762e-01   | 
drank          | af             | 0.000382034486393-> 9.996181e-01   | 
af             | won            | 5.54937760171e-05-> 9.999445e-01   | 
won            | de             | 0.0645514056087-> 9.374879e-01   | 
de             | British        | 3.13145646942e-05-> 9.999687e-01   | 
British        | Open           | 9.33598785195e-05-> 9.999067e-01   | 
Open           | op             | 0.00479135289788-> 9.952201e-01   | 
op             | de             | 0.0746470987797-> 9.280710e-01   | 
de             | heilige        | 1.41511045513e-05-> 9.999859e-01   | 
heilige        | Old            | 9.92301102087e-06-> 9.999901e-01   | 
Old            | <UNK>          | 0.0139661086723-> 9.861310e-01   | 
<UNK>          | van            | 0.032721798867 -> 9.678078e-01   | 
van            | Saint          | 1.15664470286e-05-> 9.999884e-01   | 
Saint          | Andrews        | 8.62952583702e-06-> 9.999914e-01   | 
Andrews        | raakte         | 1.09151724246e-05-> 9.999891e-01   | 
raakte         | weer           | 0.000373292801669-> 9.996268e-01   | 
weer           | aan            | 0.00237471726723-> 9.976281e-01   | 
aan            | de             | 0.0757488906384-> 9.270490e-01   | 
de             | drank          | 2.37383264903e-05-> 9.999763e-01   | 
drank          | gaf            | 6.71736706863e-05-> 9.999328e-01   | 
gaf            | zijn           | 0.00732598407194-> 9.927008e-01   | 
zijn           | tweede         | 0.000295949634165-> 9.997041e-01   | 
tweede         | vrouw          | 5.24062270415e-05-> 9.999476e-01   | 
vrouw          | een            | 0.0105624208227-> 9.894932e-01   | 
een            | ongelukkige    | 2.00146077987e-05-> 9.999800e-01   | 
ongelukkige    | slag           | 2.31198100664e-05-> 9.999769e-01   | 
slag           | enzovoort      | 6.63160881231e-06-> 9.999934e-01   | 
enzovoort      | enzovoort      | 6.56989186609e-06-> 9.999934e-01   | 
enzovoort      | </s>           | 0.00833182688802-> 9.917028e-01   | 
</s>           | <s>            | 0.499523311853 -> 6.068199e-01   | 
<s>            | dat            | 0.012028504163 -> 9.880435e-01   | 
dat            | alles          | 0.00011248519877-> 9.998875e-01   | 
alles          | was            | 0.00290220300667-> 9.971020e-01   | 
was            | niets          | 0.000248375494266-> 9.997516e-01   | 
niets          | vergeleken     | 1.10366718218e-05-> 9.999890e-01   | 
vergeleken     | bij            | 0.00133463635575-> 9.986662e-01   | 
bij            | wat            | 0.000986563856713-> 9.990139e-01   | 
wat            | hem            | 0.000993497204036-> 9.990070e-01   | 
hem            | overkwam       | 5.75692592975e-06-> 9.999942e-01   | 
overkwam       | in             | 0.00913239642978-> 9.909092e-01   | 
in             | de             | 0.0752678886056-> 9.274950e-01   | 
de             | slotronde      | 1.36323233164e-05-> 9.999864e-01   | 
slotronde      | van            | 0.0354021005332-> 9.652172e-01   | 
van            | de             | 0.0651790201664-> 9.368997e-01   | 
de             | US             | 5.76758102397e-05-> 9.999423e-01   | 
US             | Open           | 9.29489033297e-05-> 9.999071e-01   | 
Open           | op             | 0.0047897733748-> 9.952217e-01   | 
op             | de             | 0.0746400952339-> 9.280775e-01   | 
de             | achtste        | 3.12884221785e-05-> 9.999687e-01   | 
achtste        | hole           | 2.09196587093e-05-> 9.999791e-01   | 
hole           | van            | 0.0305626690388-> 9.698997e-01   | 
van            | <UNK>          | 0.0145426923409-> 9.855626e-01   | 
<UNK>          | </s>           | 0.0081296293065-> 9.919033e-01   | 
</s>           | <s>            | 0.499508202076 -> 6.068290e-01   | 
<s>            | voor           | 0.00431437976658-> 9.956949e-01   | 
voor           | </s>           | 0.00574252568185-> 9.942740e-01   | 
</s>           | <s>            | 0.498268485069 -> 6.075818e-01   | 
<s>            | <UNK>          | 0.0165930762887-> 9.835438e-01   | 
<UNK>          | meteen         | 4.91836071888e-05-> 9.999508e-01   | 
meteen         | omgedoopt      | 1.13325386337e-05-> 9.999887e-01   | 
omgedoopt      | tot            | 0.00206316052936-> 9.979390e-01   | 
tot            | <UNK>          | 0.0152097279206-> 9.849054e-01   | 
<UNK>          | </s>           | 0.00801533553749-> 9.920167e-01   | 
