input           | target          | original0       <-> cbow_tfidf_soft0 || best model: 0:first, 1:second
kunnen          | zijn            | 2.5912759304    <-> 3.06394052505   || 0
zijn            | al              | 6.05984401703   <-> 5.50759077072   || 1
al              | doet            | 7.3321814537    <-> 8.13675308228   || 0
doet            | dat             | 3.9738047123    <-> 3.86631584167   || 1
dat             | meer            | 5.84785842896   <-> 5.72505760193   || 1
meer            | denken          | 8.27400016785   <-> 8.83571052551   || 0
denken          | aan             | 3.61286592484   <-> 3.09603953362   || 1
aan             | een             | 2.44553232193   <-> 2.29726600647   || 1
een             | goedkope        | 8.04768562317   <-> 8.6449098587    || 0
goedkope        | gore            | 11.7240953445   <-> 11.927444458    || 0
gore            | tent            | 8.90029335022   <-> 8.54426670074   || 1
tent            | in              | 2.9653532505    <-> 3.2731525898    || 0
in              | Soho            | 11.9614200592   <-> 10.9087648392   || 1
Soho            | </s>            | 0.690528988838  <-> 0.559592008591  || 1
<s>             | en              | 4.20953273773   <-> 4.06346845627   || 1
en              | dan             | 3.66930389404   <-> 3.60630369186   || 1
dan             | zijn            | 3.54787778854   <-> 3.56334710121   || 0
zijn            | we              | 1.93139028549   <-> 2.43017649651   || 0
we              | er              | 3.8636739254    <-> 3.36017274857   || 1
er              | </s>            | 6.0387878418    <-> 5.81267547607   || 1
<s>             | John            | 8.81902503967   <-> 8.27862358093   || 1
John            | <UNK>           | 1.31285059452   <-> 1.68421268463   || 0
<UNK>           | op              | 4.74643993378   <-> 5.36816596985   || 0
op              | de              | 1.30409288406   <-> 1.41902041435   || 0
de              | US              | 9.1650352478    <-> 6.99676179886   || 1
US              | Open            | 1.14290380478   <-> 0.224181756377  || 1
Open            | van             | 2.96284365654   <-> 3.01979970932   || 0
van             | dit             | 5.32074165344   <-> 6.01900434494   || 0
dit             | jaar            | 0.763605177402  <-> 1.52334547043   || 0
jaar            | </s>            | 1.97753500938   <-> 2.35786414146   || 0
<s>             | de              | 1.8519974947    <-> 1.99175584316   || 0
de              | achtste         | 8.80850601196   <-> 9.12756633759   || 0
achtste         | hole            | 11.7931928635   <-> 10.8377799988   || 1
hole            | op              | 3.94823169708   <-> 4.12163543701   || 0
op              | de              | 1.14308214188   <-> 1.28592646122   || 0
de              | baan            | 7.53812217712   <-> 7.10099935532   || 1
baan            | van             | 2.10328030586   <-> 2.39334321022   || 0
van             | <UNK>           | 2.347843647     <-> 2.74962449074   || 0
<UNK>           | No              | 10.5282506943   <-> 10.4504776001   || 1
No              | </s>            | 3.77538108826   <-> 3.56282305717   || 1
<s>             | een             | 3.39050674438   <-> 3.64563417435   || 0
een             | par             | 12.7680482864   <-> 13.570936203    || 0
par             | vier            | 8.34469795227   <-> 7.35128116608   || 1
vier            | komma           | 2.69885969162   <-> 3.34905171394   || 0
komma           | en              | 5.52428483963   <-> 5.72301673889   || 0
en              | niet            | 5.57401847839   <-> 5.38066911697   || 1
niet            | eens            | 5.30759811401   <-> 4.90083217621   || 1
eens            | een             | 2.81321287155   <-> 2.9888818264    || 0
een             | moeilijke       | 7.60408687592   <-> 7.31329154968   || 1
moeilijke       | </s>            | 7.88817119598   <-> 6.0240278244    || 1
<s>             | elf             | 8.12758827209   <-> 8.56311988831   || 0
elf             | slagen          | 10.7580795288   <-> 11.0551681519   || 0
slagen          | had             | 7.51709365845   <-> 6.82012462616   || 1
had             | hij             | 5.06402540207   <-> 4.44175100327   || 1
hij             | nodig           | 6.37719106674   <-> 6.80777311325   || 0
nodig           | </s>            | 1.5086414814    <-> 1.27757036686   || 1
<s>             | elf             | 8.55987453461   <-> 8.56311988831   || 0
elf             | </s>            | 5.62853813171   <-> 4.87198829651   || 1
<s>             | waaronder       | 11.6747598648   <-> 11.7775745392   || 0
waaronder       | twee            | 4.2133436203    <-> 5.26478242874   || 0
twee            | <UNK>           | 3.34116315842   <-> 3.42653942108   || 0
<UNK>           | omdat           | 8.07491493225   <-> 7.32560443878   || 1
omdat           | hij             | 2.18297958374   <-> 2.59103345871   || 0
hij             | van             | 4.85961723328   <-> 4.86828708649   || 0
van             | <UNK>           | 2.72722482681   <-> 2.74507951736   || 0
<UNK>           | op              | 4.22551822662   <-> 4.36152839661   || 0
op              | een             | 2.27283525467   <-> 2.45583868027   || 0
een             | <UNK>           | 1.87667942047   <-> 2.33102560043   || 0
<UNK>           | bal             | 10.3258132935   <-> 9.35304069519   || 1
bal             | had             | 3.76534032822   <-> 3.96753168106   || 0
had             | <UNK>           | 3.29568624496   <-> 3.52972722054   || 0
<UNK>           | </s>            | 1.63166797161   <-> 1.79219436646   || 0
<s>             | toen            | 5.18239688873   <-> 5.63767004013   || 0
toen            | hij             | 1.96630525589   <-> 2.62944459915   || 0
hij             | na              | 4.76811408997   <-> 5.35163974762   || 0
na              | zijn            | 3.28356814384   <-> 3.48033356667   || 0
zijn            | achtste         | 7.03370094299   <-> 6.89012813568   || 1
achtste         | shot            | 10.9170837402   <-> 10.5371990204   || 1
shot            | eindelijk       | 7.06589126587   <-> 7.48067522049   || 0
eindelijk       | op              | 3.98376345634   <-> 3.50400447845   || 1
op              | de              | 1.37987720966   <-> 1.53118777275   || 0
de              | green           | 12.2761707306   <-> 12.556388855    || 0
green           | lag             | 7.5964345932    <-> 6.71361875534   || 1
lag             | waar            | 6.25869178772   <-> 6.66354179382   || 0
waar            | hij             | 1.93021416664   <-> 2.09485387802   || 0
hij             | met             | 3.97542881966   <-> 3.8400144577    || 1
met             | zijn            | 3.15443348885   <-> 3.18480086327   || 0
zijn            | tweede          | 5.69075775146   <-> 5.61720848083   || 1
tweede          | dwars           | 13.1995820999   <-> 12.8450040817   || 1
dwars           | doorheen        | 9.13670825958   <-> 8.37194442749   || 1
doorheen        | was             | 5.90086269379   <-> 5.39520740509   || 1
was             | <UNK>           | 3.60947751999   <-> 4.22616863251   || 0
<UNK>           | had             | 5.90960168839   <-> 5.67072582245   || 1
had             | hij             | 1.57578980923   <-> 1.72083997726   || 0
hij             | nog             | 3.81372594833   <-> 3.66311621666   || 1
nog             | eens            | 3.52900886536   <-> 3.54308009148   || 0
eens            | drie            | 5.65686798096   <-> 5.31809091568   || 1
drie            | <UNK>           | 3.16093349457   <-> 3.01072883606   || 1
<UNK>           | nodig           | 5.43381404877   <-> 5.11583280563   || 1
nodig           | </s>            | 0.680479764938  <-> 0.657454133034  || 1
<s>             | lezers          | 10.9623699188   <-> 10.6485080719   || 1
lezers          | van             | 2.94308328629   <-> 2.46724247932   || 1
van             | Knack           | 9.91069316864   <-> 10.4598293304   || 0
Knack           | kennen          | 7.13738965988   <-> 7.58297920227   || 0
kennen          | John            | 9.39416217804   <-> 9.07349967957   || 1
John            | <UNK>           | 1.3537299633    <-> 1.61617529392   || 0
<UNK>           | wij             | 9.68338871002   <-> 9.31604766846   || 1
wij             | hebben          | 5.21406126022   <-> 4.81761026382   || 1
hebben          | u               | 7.53283834457   <-> 7.22237682343   || 1
u               | al              | 4.05963516235   <-> 3.82203793526   || 1
al              | meermaals       | 7.31463813782   <-> 7.00967979431   || 1
meermaals       | over            | 5.21574926376   <-> 4.90745210648   || 1
over            | hem             | 4.90941572189   <-> 5.24087238312   || 0
hem             | verteld         | 6.26409101486   <-> 5.80447101593   || 1
verteld         | </s>            | 0.530095815659  <-> 0.461337983608  || 1
<s>             | een             | 3.60508441925   <-> 3.64563417435   || 0
een             | <UNK>           | 1.80322408676   <-> 2.19535446167   || 0
<UNK>           | buiten          | 8.47009086609   <-> 8.3168258667    || 1
buiten          | categorie       | 10.9926815033   <-> 10.3060932159   || 1
categorie       | die             | 4.00770378113   <-> 4.70992708206   || 0
die             | in              | 3.08470726013   <-> 2.99425625801   || 1
in              | negentien       | 3.1465344429    <-> 3.46480894089   || 0
negentien       | honderd         | 0.00471325870603 <-> 0.00641560461372 || 0
honderd         | één-en        | 2.65647983551   <-> 3.0212032795    || 0
één-en        | negentig        | 0.808912873268  <-> 0.602041184902  || 1
negentig        | door            | 4.66422748566   <-> 4.5717792511    || 1
door            | de              | 1.00137519836   <-> 1.22372770309   || 0
de              | vele            | 6.95362472534   <-> 7.41495800018   || 0
vele            | forfaits        | 12.2425270081   <-> 11.1050252914   || 1
forfaits        | per             | 7.75009584427   <-> 7.29902505875   || 1
per             | ongeluk         | 4.01629829407   <-> 3.50625419617   || 1
ongeluk         | in              | 3.00948429108   <-> 2.72393798828   || 1
in              | de              | 1.21145796776   <-> 1.27426338196   || 0
de              | <UNK>           | 2.12212014198   <-> 2.55044865608   || 0
<UNK>           | van             | 2.25831747055   <-> 2.31074643135   || 0
van             | de              | 1.23939323425   <-> 1.25086462498   || 0
de              | US              | 8.811170578     <-> 7.04398822784   || 1
US              | <UNK>           | 1.28341126442   <-> 3.03151965141   || 0
<UNK>           | op              | 4.166410923     <-> 4.45047616959   || 0
op              | <UNK>           | 3.23656821251   <-> 3.28166794777   || 0
<UNK>           | <UNK>           | 2.5793492794    <-> 3.07160139084   || 0
<UNK>           | geraakte        | 9.06100082397   <-> 7.80897378922   || 1
geraakte        | </s>            | 1.59705710411   <-> 1.73500573635   || 0
<s>             | <UNK>           | 2.98750209808   <-> 3.1544175148    || 0
<UNK>           | pas             | 8.30111885071   <-> 8.8602437973    || 0
pas             | in              | 2.33120632172   <-> 2.63411521912   || 0
in              | extremis        | 7.9770565033    <-> 8.28118610382   || 0
extremis        | opgeroepen      | 9.99767971039   <-> 10.3695163727   || 0
opgeroepen      | kwam            | 6.5651845932    <-> 8.69490528107   || 0
kwam            | net             | 6.52613830566   <-> 7.13197517395   || 0
net             | op              | 2.52819466591   <-> 3.34316205978   || 0
op              | tijd            | 7.07155561447   <-> 6.39818954468   || 1
tijd            | in              | 2.89063835144   <-> 2.43299770355   || 1
in              | Indianapolis    | 10.9749126434   <-> 10.1347579956   || 1
Indianapolis    | aan             | 4.63364362717   <-> 4.71823358536   || 0
aan             | om              | 5.00861930847   <-> 4.88326263428   || 1
om              | van             | 4.81144142151   <-> 5.05740213394   || 0
van             | start           | 7.73232841492   <-> 6.69556951523   || 1
start           | te              | 1.21012234688   <-> 0.874487042427  || 1
te              | kunnen          | 4.23660326004   <-> 4.25224018097   || 0
kunnen          | gaan            | 3.27577137947   <-> 3.1157848835    || 1
gaan            | in              | 3.48349571228   <-> 3.55382847786   || 0
in              | de              | 1.08161389828   <-> 1.15784025192   || 0
de              | eerste          | 3.63365507126   <-> 3.38463711739   || 1
eerste          | ronde           | 2.0380449295    <-> 1.39602768421   || 1
ronde           | moest           | 7.87506484985   <-> 9.09765434265   || 0
moest           | clubs           | 11.173582077    <-> 10.8990907669   || 1
clubs           | en              | 3.57759046555   <-> 3.98608803749   || 0
en              | een             | 3.32021450996   <-> 3.53142881393   || 0
een             | <UNK>           | 1.81664872169   <-> 2.33782958984   || 0
<UNK>           | lenen           | 10.0421724319   <-> 8.58225536346   || 1
lenen           | en              | 3.29951810837   <-> 3.13739585876   || 1
en              | won             | 8.3104391098    <-> 7.76021671295   || 1
won             | tot             | 5.42410469055   <-> 4.92113685608   || 1
tot             | <UNK>           | 3.653870821     <-> 3.91033625603   || 0
<UNK>           | verbijstering   | 12.3745756149   <-> 12.0405979156   || 1
verbijstering   | het             | 5.35148048401   <-> 4.56641483307   || 1
het             | toernooi        | 8.32333660126   <-> 8.05096435547   || 1
toernooi        | </s>            | 2.06363463402   <-> 1.91489815712   || 1
<s>             | John            | 8.01948833466   <-> 8.27862358093   || 0
John            | wie             | 11.9327535629   <-> 10.1722784042   || 1
wie             | zonder          | 6.89409351349   <-> 7.12546062469   || 0
zonder          | zonde           | 10.3248262405   <-> 10.4145126343   || 0
zonde           | is              | 2.31973433495   <-> 2.20708799362   || 1
is              | <UNK>           | 4.15378665924   <-> 4.71600866318   || 0
<UNK>           | de              | 2.2889418602    <-> 2.6743516922    || 0
de              | eerste          | 4.06603574753   <-> 4.74235963821   || 0
eerste          | steen           | 7.08846569061   <-> 6.99965763092   || 1
steen           | raakte          | 10.0694179535   <-> 9.13059711456   || 1
raakte          | daarna          | 7.06137180328   <-> 7.61474561691   || 0
daarna          | aan             | 4.64073753357   <-> 4.73106336594   || 0
aan             | de              | 1.07216823101   <-> 1.08897614479   || 0
de              | drank           | 9.27115440369   <-> 8.69466304779   || 1
drank           | </s>            | 1.19046187401   <-> 1.33397245407   || 0
<s>             | hij             | 3.12394285202   <-> 4.00855302811   || 0
hij             | stelde          | 5.96304798126   <-> 5.79071331024   || 1
stelde          | zich            | 3.00938987732   <-> 3.69042086601   || 0
zich            | gewelddadig     | 12.1632995605   <-> 12.3797969818   || 0
gewelddadig     | op              | 2.47248649597   <-> 2.71363759041   || 0
op              | tegen           | 5.56444787979   <-> 4.53985548019   || 1
tegen           | zijn            | 3.49560642242   <-> 3.4041762352    || 1
zijn            | eerste          | 4.28866004944   <-> 4.59606266022   || 0
eerste          | vervolgens      | 13.5569877625   <-> 12.5858278275   || 1
vervolgens      | tegen           | 5.21737861633   <-> 5.07370567322   || 1
tegen           | zijn            | 3.6461353302    <-> 3.48561382294   || 1
zijn            | tweede          | 5.37835216522   <-> 5.35476493835   || 1
tweede          | en              | 4.67733097076   <-> 5.06958198547   || 0
en              | tenslotte       | 9.97812747955   <-> 10.6013364792   || 0
tenslotte       | tegen           | 6.05543708801   <-> 5.96365499496   || 1
tegen           | zijn            | 3.7059879303    <-> 3.55201625824   || 1
zijn            | derde           | 5.71047115326   <-> 6.58541584015   || 0
derde           | echtgenote      | 8.17207527161   <-> 7.51747846603   || 1
echtgenote      | volgde          | 9.13823795319   <-> 9.99085617065   || 0
volgde          | een             | 3.28590488434   <-> 3.11366033554   || 1
een             | <UNK>           | 1.66836202145   <-> 2.11316609383   || 0
<UNK>           | in              | 2.78159093857   <-> 2.65755867958   || 1
in              | de              | 1.26181769371   <-> 1.29034793377   || 0
de              | Betty           | 13.7986850739   <-> 13.9565458298   || 0
Betty           | Ford            | 9.18842029572   <-> 8.70656108856   || 1
Ford            | kliniek         | 14.2404327393   <-> 14.422533989    || 0
kliniek         | zwoer           | 12.6362514496   <-> 13.1374731064   || 0
zwoer           | de              | 1.95614600182   <-> 1.97584807873   || 0
de              | drank           | 10.0463199615   <-> 10.3852939606   || 0
drank           | af              | 5.50553941727   <-> 5.70762586594   || 0
af              | won             | 12.4997138977   <-> 14.0178699493   || 0
won             | de              | 1.96322226524   <-> 2.97826623917   || 0
de              | British         | 11.0173015594   <-> 10.7082653046   || 1
British         | Open            | 5.05687904358   <-> 2.54938840866   || 1
Open            | op              | 4.21776580811   <-> 4.6658115387    || 0
op              | de              | 1.32084321976   <-> 1.41176426411   || 0
de              | heilige         | 9.4435634613    <-> 9.26811504364   || 1
heilige         | Old             | 8.55185699463   <-> 8.82279872894   || 0
Old             | <UNK>           | 1.30413377285   <-> 1.48566329479   || 0
<UNK>           | van             | 2.95345568657   <-> 2.82451057434   || 1
van             | Saint           | 9.50473403931   <-> 9.72533226013   || 0
Saint           | Andrews         | 11.1828727722   <-> 9.3984375       || 1
Andrews         | raakte          | 10.3267946243   <-> 10.4643392563   || 0
raakte          | weer            | 6.5144405365    <-> 6.09536457062   || 1
weer            | aan             | 4.21781253815   <-> 3.92366933823   || 1
aan             | de              | 1.22191214561   <-> 1.17840600014   || 1
de              | drank           | 8.86362838745   <-> 8.87907409668   || 0
drank           | gaf             | 9.90544223785   <-> 9.06047916412   || 1
gaf             | zijn            | 4.4671163559    <-> 4.85009098053   || 0
zijn            | tweede          | 6.19129753113   <-> 5.92950153351   || 1
tweede          | vrouw           | 5.22568368912   <-> 4.89516639709   || 1
vrouw           | een             | 2.97487926483   <-> 4.01225137711   || 0
een             | ongelukkige     | 8.80591583252   <-> 8.69910049438   || 1
ongelukkige     | slag            | 8.60894107819   <-> 8.33563232422   || 1
slag            | enzovoort       | 11.2220993042   <-> 10.922577858    || 1
enzovoort       | enzovoort       | 10.127248764    <-> 10.1337184906   || 0
enzovoort       | </s>            | 0.364114016294  <-> 0.423101305962  || 0
<s>             | dat             | 3.93316459656   <-> 3.80668210983   || 1
dat             | alles           | 6.72454690933   <-> 6.35456085205   || 1
alles           | was             | 2.93165683746   <-> 3.96752238274   || 0
was             | niets           | 6.38196754456   <-> 6.60117340088   || 0
niets           | vergeleken      | 9.40042877197   <-> 8.35103416443   || 1
vergeleken      | bij             | 4.97649812698   <-> 5.02140188217   || 0
bij             | wat             | 5.69116830826   <-> 6.32974481583   || 0
wat             | hem             | 5.43834686279   <-> 6.12366962433   || 0
hem             | overkwam        | 9.56339454651   <-> 9.33247375488   || 1
overkwam        | in              | 3.53434228897   <-> 3.72822475433   || 0
in              | de              | 1.16538345814   <-> 1.09914112091   || 1
de              | slotronde       | 10.0113286972   <-> 9.00226306915   || 1
slotronde       | van             | 2.22256088257   <-> 2.22062397003   || 1
van             | de              | 1.11715316772   <-> 1.1778665781    || 0
de              | US              | 8.23571109772   <-> 6.39581727982   || 1
US              | Open            | 1.21889269352   <-> 0.113969020545  || 1
Open            | op              | 4.8092918396    <-> 4.89503860474   || 0
op              | de              | 1.14171409607   <-> 1.34858679771   || 0
de              | achtste         | 6.90938949585   <-> 5.90231895447   || 1
achtste         | hole            | 12.1457967758   <-> 11.1997432709   || 1
hole            | van             | 2.66953420639   <-> 1.75438857079   || 1
van             | <UNK>           | 2.71080684662   <-> 3.2270731926    || 0
<UNK>           | </s>            | 0.826415419579  <-> 0.635279655457  || 1
<s>             | voor            | 4.61495113373   <-> 4.71159315109   || 0
voor            | </s>            | 8.17169380188   <-> 6.88349962234   || 1
<s>             | <UNK>           | 3.16845321655   <-> 3.1544175148    || 1
<UNK>           | meteen          | 8.8640460968    <-> 9.50415229797   || 0
meteen          | omgedoopt       | 10.870303154    <-> 10.8279075623   || 1
omgedoopt       | tot             | 1.80500996113   <-> 0.613316953182  || 1
tot             | <UNK>           | 2.41265249252   <-> 2.5930814743    || 0
<UNK>           | </s>            | 1.1451536417    <-> 1.24868381023   || 0
<s>             | gelukkig        | 8.3150510788    <-> 7.31162214279   || 1
gelukkig        | ligt            | 5.86955881119   <-> 5.74513101578   || 1
ligt            | die             | 5.63377094269   <-> 4.35561609268   || 1
die             | achtste         | 8.70793628693   <-> 9.92655658722   || 0
achtste         | nogal           | 9.32571315765   <-> 10.4403181076   || 0
nogal           | ver             | 6.36730575562   <-> 5.53402137756   || 1
ver             | van             | 1.46496534348   <-> 2.54502058029   || 0
van             | het             | 2.14517617226   <-> 1.9538847208    || 1
het             | <UNK>           | 1.75422859192   <-> 2.18031406403   || 0
<UNK>           | of              | 5.36715316772   <-> 4.96489953995   || 1
of              | <UNK>           | 2.57843589783   <-> 2.38352274895   || 1
<UNK>           | had             | 7.05408573151   <-> 7.55327415466   || 0
had             | zijn            | 4.7930226326    <-> 5.01123714447   || 0
zijn            | clubs           | 9.43263626099   <-> 9.79411411285   || 0
clubs           | weggegooid      | 10.8267679214   <-> 10.6993808746   || 1
weggegooid      | en              | 2.76964116096   <-> 2.38843870163   || 1
en              | zich            | 6.67315387726   <-> 7.05316448212   || 0
zich            | terstond        | 13.2455787659   <-> 12.3097486496   || 1
terstond        | weer            | 5.99062919617   <-> 5.69229459763   || 1
weer            | in              | 2.71032595634   <-> 2.90664982796   || 0
in              | de              | 1.20163428783   <-> 1.34180307388   || 0
de              | alcohol         | 11.179391861    <-> 12.2323598862   || 0
alcohol         | gestort         | 9.17413520813   <-> 7.83185529709   || 1
