input           | target          | original0       <-> cbow_exp_lstm0  || best model: 0:first, 1:second
een             | professional    | 11.0587387085   <-> 10.6921577454   || 1
professional    | een             | 4.90120697021   <-> 5.00563526154   || 0
een             | catastrofe      | 9.47862243652   <-> 9.46529960632   || 1
catastrofe      | </s>            | 1.3322404623    <-> 1.19838094711   || 1
<s>             | een             | 3.3727581501    <-> 3.55026698112   || 0
een             | triple          | 12.9606199265   <-> 12.4361019135   || 1
triple          | <UNK>           | 1.42848837376   <-> 1.43199634552   || 0
<UNK>           | daarvan         | 9.11311721802   <-> 8.97979068756   || 1
daarvan         | wordt           | 3.93157243729   <-> 3.43776869774   || 1
wordt           | een             | 2.43014144897   <-> 2.5521709919    || 0
een             | amateur         | 10.5524177551   <-> 10.234331131    || 1
amateur         | zeer            | 8.35335159302   <-> 8.82796001434   || 0
zeer            | <UNK>           | 2.32497882843   <-> 3.31236076355   || 0
<UNK>           | een             | 4.7576789856    <-> 5.34327125549   || 0
een             | professional    | 11.1064596176   <-> 10.6837997437   || 1
professional    | die             | 3.60719466209   <-> 2.95360612869   || 1
die             | het             | 3.26224684715   <-> 3.04635024071   || 1
het             | overkomt        | 8.96210289001   <-> 8.57061195374   || 1
overkomt        | levert          | 8.75410175323   <-> 9.11986923218   || 0
levert          | zijn            | 4.225938797     <-> 4.48785591125   || 0
zijn            | clubs           | 11.2070512772   <-> 10.0123233795   || 1
clubs           | in              | 2.94019579887   <-> 2.45374250412   || 1
in              | </s>            | 2.75510644913   <-> 2.43391132355   || 1
<s>             | met             | 4.50248765945   <-> 4.65950918198   || 0
met             | <UNK>           | 2.9268116951    <-> 3.10079717636   || 0
<UNK>           | boven           | 8.58613586426   <-> 8.74605083466   || 0
boven           | par             | 13.3539485931   <-> 12.8087043762   || 1
par             | zijn            | 6.30486297607   <-> 6.88750839233   || 0
zijn            | we              | 5.30744743347   <-> 2.84873652458   || 1
we              | bij             | 5.0947971344    <-> 5.19093704224   || 0
bij             | <UNK>           | 2.75980520248   <-> 3.22561860085   || 0
<UNK>           | </s>            | 2.16508865356   <-> 2.35077857971   || 0
<s>             | schijnt         | 12.234834671    <-> 12.7131719589   || 0
schijnt         | één           | 7.32552242279   <-> 8.21409130096   || 0
één           | keer            | 3.74675369263   <-> 4.43706226349   || 0
keer            | per             | 6.4796037674    <-> 5.25565052032   || 1
per             | halve           | 8.47886657715   <-> 7.6529507637    || 1
halve           | eeuw            | 5.62365961075   <-> 3.59220790863   || 1
eeuw            | voor            | 4.17715930939   <-> 3.97840189934   || 1
voor            | te              | 4.54482555389   <-> 3.70102000237   || 1
te              | komen           | 3.97349119186   <-> 4.08729553223   || 0
komen           | in              | 3.22977685928   <-> 3.55085706711   || 0
in              | het             | 2.02052950859   <-> 1.80168294907   || 1
het             | professionele   | 9.71067905426   <-> 9.05060195923   || 1
professionele   | golf            | 11.3890705109   <-> 12.0334243774   || 0
golf            | maar            | 5.34573888779   <-> 4.74447441101   || 1
maar            | niemand         | 7.03544902802   <-> 7.31626033783   || 0
niemand         | weet            | 4.22646045685   <-> 4.16771507263   || 1
weet            | waar            | 6.70506000519   <-> 6.7398891449    || 0
waar            | </s>            | 5.27214813232   <-> 4.93320465088   || 1
<s>             | bij             | 5.11093235016   <-> 5.07192564011   || 1
bij             | analogie        | 11.1309728622   <-> 11.2801008224   || 0
analogie        | moet            | 5.58565330505   <-> 5.78037929535   || 0
moet            | vijf            | 8.44062232971   <-> 9.07496738434   || 0
vijf            | boven           | 9.59891986847   <-> 10.1795139313   || 0
boven           | par             | 14.5898284912   <-> 13.7900943756   || 1
par             | dan             | 6.67796754837   <-> 6.33955764771   || 1
dan             | een             | 2.2378411293    <-> 2.20317292213   || 1
een             | <UNK>           | 1.89252460003   <-> 2.05298018456   || 0
<UNK>           | <UNK>           | 2.74762701988   <-> 2.51827740669   || 1
<UNK>           | zijn            | 4.05903863907   <-> 3.6776201725    || 1
zijn            | </s>            | 1.23695254326   <-> 1.16056096554   || 1
<s>             | nooit           | 7.69998645782   <-> 7.95982265472   || 0
nooit           | tegengekomen    | 11.5693473816   <-> 12.4243011475   || 0
tegengekomen    | in              | 3.49418592453   <-> 3.39832687378   || 1
in              | de              | 1.17592334747   <-> 1.24369323254   || 0
de              | vakliteratuur   | 12.2324428558   <-> 11.1497983932   || 1
vakliteratuur   | </s>            | 1.59712600708   <-> 1.57805359364   || 1
<s>             | zes             | 7.46860456467   <-> 7.97511100769   || 0
zes             | zou             | 8.66418170929   <-> 8.26251506805   || 1
zou             | <UNK>           | 3.43387174606   <-> 3.62439537048   || 0
<UNK>           | kunnen          | 5.61184215546   <-> 4.86626529694   || 1
kunnen          | zijn            | 2.5912759304    <-> 3.38756251335   || 0
zijn            | al              | 6.05984401703   <-> 5.55959939957   || 1
al              | doet            | 7.3321814537    <-> 7.82629966736   || 0
doet            | dat             | 3.9738047123    <-> 3.73566293716   || 1
dat             | meer            | 5.84785842896   <-> 5.65778493881   || 1
meer            | denken          | 8.27400016785   <-> 8.27724075317   || 0
denken          | aan             | 3.61286592484   <-> 3.37811994553   || 1
aan             | een             | 2.44553232193   <-> 2.35042715073   || 1
een             | goedkope        | 8.04768562317   <-> 8.8707780838    || 0
goedkope        | gore            | 11.7240953445   <-> 11.1920890808   || 1
gore            | tent            | 8.90029335022   <-> 8.50497817993   || 1
tent            | in              | 2.9653532505    <-> 2.88834762573   || 1
in              | Soho            | 11.9614200592   <-> 11.0407238007   || 1
Soho            | </s>            | 0.690528988838  <-> 0.606690585613  || 1
<s>             | en              | 4.20953273773   <-> 3.97410964966   || 1
en              | dan             | 3.66930389404   <-> 3.58712434769   || 1
dan             | zijn            | 3.54787778854   <-> 3.01714801788   || 1
zijn            | we              | 1.93139028549   <-> 1.73496341705   || 1
we              | er              | 3.8636739254    <-> 3.48765563965   || 1
er              | </s>            | 6.0387878418    <-> 6.36577701569   || 0
<s>             | John            | 8.81902503967   <-> 8.73981952667   || 1
John            | <UNK>           | 1.31285059452   <-> 1.4922041893    || 0
<UNK>           | op              | 4.74643993378   <-> 4.37846183777   || 1
op              | de              | 1.30409288406   <-> 1.47591876984   || 0
de              | US              | 9.1650352478    <-> 7.2850818634    || 1
US              | Open            | 1.14290380478   <-> 0.106125555933  || 1
Open            | van             | 2.96284365654   <-> 3.0287938118    || 0
van             | dit             | 5.32074165344   <-> 5.51458215714   || 0
dit             | jaar            | 0.763605177402  <-> 0.823738753796  || 0
jaar            | </s>            | 1.97753500938   <-> 2.41221284866   || 0
<s>             | de              | 1.8519974947    <-> 1.98351466656   || 0
de              | achtste         | 8.80850601196   <-> 7.47323799133   || 1
achtste         | hole            | 11.7931928635   <-> 9.51708221436   || 1
hole            | op              | 3.94823169708   <-> 3.65443515778   || 1
op              | de              | 1.14308214188   <-> 1.14434206486   || 0
de              | baan            | 7.53812217712   <-> 7.26933383942   || 1
baan            | van             | 2.10328030586   <-> 2.32092499733   || 0
van             | <UNK>           | 2.347843647     <-> 2.56357717514   || 0
<UNK>           | No              | 10.5282506943   <-> 10.7899007797   || 0
No              | </s>            | 3.77538108826   <-> 3.34123134613   || 1
<s>             | een             | 3.39050674438   <-> 3.48727488518   || 0
een             | par             | 12.7680482864   <-> 12.9111423492   || 0
par             | vier            | 8.34469795227   <-> 8.35507202148   || 0
vier            | komma           | 2.69885969162   <-> 3.096139431     || 0
komma           | en              | 5.52428483963   <-> 5.1784734726    || 1
en              | niet            | 5.57401847839   <-> 7.04183769226   || 0
niet            | eens            | 5.30759811401   <-> 4.91550350189   || 1
eens            | een             | 2.81321287155   <-> 3.04765748978   || 0
een             | moeilijke       | 7.60408687592   <-> 7.36510229111   || 1
moeilijke       | </s>            | 7.88817119598   <-> 6.76847362518   || 1
<s>             | elf             | 8.12758827209   <-> 8.73915290833   || 0
elf             | slagen          | 10.7580795288   <-> 11.1989746094   || 0
slagen          | had             | 7.51709365845   <-> 7.27121162415   || 1
had             | hij             | 5.06402540207   <-> 3.78300023079   || 1
hij             | nodig           | 6.37719106674   <-> 7.38166856766   || 0
nodig           | </s>            | 1.5086414814    <-> 1.02704060078   || 1
<s>             | elf             | 8.55987453461   <-> 8.77233123779   || 0
elf             | </s>            | 5.62853813171   <-> 4.94010972977   || 1
<s>             | waaronder       | 11.6747598648   <-> 11.8095598221   || 0
waaronder       | twee            | 4.2133436203    <-> 4.82918262482   || 0
twee            | <UNK>           | 3.34116315842   <-> 2.76826000214   || 1
<UNK>           | omdat           | 8.07491493225   <-> 7.9420375824    || 1
omdat           | hij             | 2.18297958374   <-> 2.13569068909   || 1
hij             | van             | 4.85961723328   <-> 4.5467634201    || 1
van             | <UNK>           | 2.72722482681   <-> 2.60035943985   || 1
<UNK>           | op              | 4.22551822662   <-> 4.15406513214   || 1
op              | een             | 2.27283525467   <-> 2.21686172485   || 1
een             | <UNK>           | 1.87667942047   <-> 2.05865740776   || 0
<UNK>           | bal             | 10.3258132935   <-> 7.94690513611   || 1
bal             | had             | 3.76534032822   <-> 4.06675434113   || 0
had             | <UNK>           | 3.29568624496   <-> 2.94461250305   || 1
<UNK>           | </s>            | 1.63166797161   <-> 2.28613424301   || 0
<s>             | toen            | 5.18239688873   <-> 4.78827285767   || 1
toen            | hij             | 1.96630525589   <-> 2.1059615612    || 0
hij             | na              | 4.76811408997   <-> 4.92667007446   || 0
na              | zijn            | 3.28356814384   <-> 2.95727109909   || 1
zijn            | achtste         | 7.03370094299   <-> 7.01904821396   || 1
achtste         | shot            | 10.9170837402   <-> 9.3217716217    || 1
shot            | eindelijk       | 7.06589126587   <-> 7.55560684204   || 0
eindelijk       | op              | 3.98376345634   <-> 3.70885062218   || 1
op              | de              | 1.37987720966   <-> 1.42072105408   || 0
de              | green           | 12.2761707306   <-> 11.8671684265   || 1
green           | lag             | 7.5964345932    <-> 6.66084003448   || 1
lag             | waar            | 6.25869178772   <-> 6.67265319824   || 0
waar            | hij             | 1.93021416664   <-> 1.5679473877    || 1
hij             | met             | 3.97542881966   <-> 3.88526558876   || 1
met             | zijn            | 3.15443348885   <-> 3.20737409592   || 0
zijn            | tweede          | 5.69075775146   <-> 4.62765073776   || 1
tweede          | dwars           | 13.1995820999   <-> 13.6006507874   || 0
dwars           | doorheen        | 9.13670825958   <-> 10.0065402985   || 0
doorheen        | was             | 5.90086269379   <-> 4.61515617371   || 1
was             | <UNK>           | 3.60947751999   <-> 3.84818005562   || 0
<UNK>           | had             | 5.90960168839   <-> 5.06586647034   || 1
had             | hij             | 1.57578980923   <-> 1.29531776905   || 1
hij             | nog             | 3.81372594833   <-> 3.41456246376   || 1
nog             | eens            | 3.52900886536   <-> 3.03831171989   || 1
eens            | drie            | 5.65686798096   <-> 5.63840579987   || 1
drie            | <UNK>           | 3.16093349457   <-> 3.16611504555   || 0
<UNK>           | nodig           | 5.43381404877   <-> 5.90614032745   || 0
nodig           | </s>            | 0.680479764938  <-> 0.588543951511  || 1
<s>             | lezers          | 10.9623699188   <-> 11.4633045197   || 0
lezers          | van             | 2.94308328629   <-> 3.02100086212   || 0
van             | Knack           | 9.91069316864   <-> 10.1314001083   || 0
Knack           | kennen          | 7.13738965988   <-> 7.06615352631   || 1
kennen          | John            | 9.39416217804   <-> 8.82828998566   || 1
John            | <UNK>           | 1.3537299633    <-> 1.4268835783    || 0
<UNK>           | wij             | 9.68338871002   <-> 9.25226306915   || 1
wij             | hebben          | 5.21406126022   <-> 5.87586545944   || 0
hebben          | u               | 7.53283834457   <-> 6.90885353088   || 1
u               | al              | 4.05963516235   <-> 3.7038667202    || 1
al              | meermaals       | 7.31463813782   <-> 6.92352676392   || 1
meermaals       | over            | 5.21574926376   <-> 4.78766536713   || 1
over            | hem             | 4.90941572189   <-> 5.3216085434    || 0
hem             | verteld         | 6.26409101486   <-> 6.64946651459   || 0
verteld         | </s>            | 0.530095815659  <-> 0.583839058876  || 0
<s>             | een             | 3.60508441925   <-> 3.84019565582   || 0
een             | <UNK>           | 1.80322408676   <-> 2.06871843338   || 0
<UNK>           | buiten          | 8.47009086609   <-> 8.99772167206   || 0
buiten          | categorie       | 10.9926815033   <-> 10.6631479263   || 1
categorie       | die             | 4.00770378113   <-> 4.56702852249   || 0
die             | in              | 3.08470726013   <-> 3.13988447189   || 0
in              | negentien       | 3.1465344429    <-> 3.3450088501    || 0
negentien       | honderd         | 0.00471325870603 <-> 0.0148631120101 || 0
honderd         | één-en        | 2.65647983551   <-> 2.7685520649    || 0
één-en        | negentig        | 0.808912873268  <-> 0.606856763363  || 1
negentig        | door            | 4.66422748566   <-> 4.54033946991   || 1
door            | de              | 1.00137519836   <-> 1.14596009254   || 0
de              | vele            | 6.95362472534   <-> 7.04790830612   || 0
vele            | forfaits        | 12.2425270081   <-> 11.5864048004   || 1
forfaits        | per             | 7.75009584427   <-> 8.43981266022   || 0
per             | ongeluk         | 4.01629829407   <-> 3.76119709015   || 1
ongeluk         | in              | 3.00948429108   <-> 2.67989373207   || 1
in              | de              | 1.21145796776   <-> 1.26195800304   || 0
de              | <UNK>           | 2.12212014198   <-> 2.21578502655   || 0
<UNK>           | van             | 2.25831747055   <-> 2.34864068031   || 0
van             | de              | 1.23939323425   <-> 1.15013897419   || 1
de              | US              | 8.811170578     <-> 7.39842271805   || 1
US              | <UNK>           | 1.28341126442   <-> 4.12780427933   || 0
<UNK>           | op              | 4.166410923     <-> 4.22181606293   || 0
op              | <UNK>           | 3.23656821251   <-> 3.35383462906   || 0
<UNK>           | <UNK>           | 2.5793492794    <-> 3.08171963692   || 0
<UNK>           | geraakte        | 9.06100082397   <-> 8.04847240448   || 1
geraakte        | </s>            | 1.59705710411   <-> 1.35470235348   || 1
<s>             | <UNK>           | 2.98750209808   <-> 2.97356796265   || 1
<UNK>           | pas             | 8.30111885071   <-> 8.52472496033   || 0
pas             | in              | 2.33120632172   <-> 2.17223381996   || 1
in              | extremis        | 7.9770565033    <-> 7.79740762711   || 1
extremis        | opgeroepen      | 9.99767971039   <-> 10.831653595    || 0
opgeroepen      | kwam            | 6.5651845932    <-> 6.85746669769   || 0
kwam            | net             | 6.52613830566   <-> 6.66915464401   || 0
net             | op              | 2.52819466591   <-> 2.77508497238   || 0
op              | tijd            | 7.07155561447   <-> 6.64913272858   || 1
tijd            | in              | 2.89063835144   <-> 2.94796085358   || 0
in              | Indianapolis    | 10.9749126434   <-> 9.64244937897   || 1
Indianapolis    | aan             | 4.63364362717   <-> 4.55938863754   || 1
aan             | om              | 5.00861930847   <-> 5.12569189072   || 0
om              | van             | 4.81144142151   <-> 4.73603630066   || 1
van             | start           | 7.73232841492   <-> 6.18879270554   || 1
start           | te              | 1.21012234688   <-> 0.661926746368  || 1
te              | kunnen          | 4.23660326004   <-> 4.95714092255   || 0
kunnen          | gaan            | 3.27577137947   <-> 3.03797221184   || 1
gaan            | in              | 3.48349571228   <-> 3.88849020004   || 0
in              | de              | 1.08161389828   <-> 1.10015821457   || 0
de              | eerste          | 3.63365507126   <-> 3.28498458862   || 1
eerste          | ronde           | 2.0380449295    <-> 1.55263102055   || 1
ronde           | moest           | 7.87506484985   <-> 9.10866546631   || 0
moest           | clubs           | 11.173582077    <-> 10.9852800369   || 1
clubs           | en              | 3.57759046555   <-> 3.43656921387   || 1
en              | een             | 3.32021450996   <-> 3.57011079788   || 0
een             | <UNK>           | 1.81664872169   <-> 1.98302042484   || 0
<UNK>           | lenen           | 10.0421724319   <-> 9.80561065674   || 1
lenen           | en              | 3.29951810837   <-> 3.56614851952   || 0
en              | won             | 8.3104391098    <-> 7.30605554581   || 1
won             | tot             | 5.42410469055   <-> 4.71798801422   || 1
tot             | <UNK>           | 3.653870821     <-> 3.83136582375   || 0
<UNK>           | verbijstering   | 12.3745756149   <-> 12.9434375763   || 0
verbijstering   | het             | 5.35148048401   <-> 5.36698055267   || 0
het             | toernooi        | 8.32333660126   <-> 7.31835031509   || 1
toernooi        | </s>            | 2.06363463402   <-> 1.38844025135   || 1
<s>             | John            | 8.01948833466   <-> 7.79213571548   || 1
John            | wie             | 11.9327535629   <-> 11.7785215378   || 1
wie             | zonder          | 6.89409351349   <-> 7.30396604538   || 0
zonder          | zonde           | 10.3248262405   <-> 11.590965271    || 0
zonde           | is              | 2.31973433495   <-> 2.47589254379   || 0
is              | <UNK>           | 4.15378665924   <-> 4.53680706024   || 0
<UNK>           | de              | 2.2889418602    <-> 2.43705773354   || 0
de              | eerste          | 4.06603574753   <-> 3.61922359467   || 1
eerste          | steen           | 7.08846569061   <-> 7.57408809662   || 0
steen           | raakte          | 10.0694179535   <-> 9.67782306671   || 1
raakte          | daarna          | 7.06137180328   <-> 7.60120391846   || 0
daarna          | aan             | 4.64073753357   <-> 4.56588363647   || 1
aan             | de              | 1.07216823101   <-> 1.06242418289   || 1
de              | drank           | 9.27115440369   <-> 9.06476211548   || 1
drank           | </s>            | 1.19046187401   <-> 0.890664279461  || 1
<s>             | hij             | 3.12394285202   <-> 3.40046787262   || 0
hij             | stelde          | 5.96304798126   <-> 6.06979751587   || 0
stelde          | zich            | 3.00938987732   <-> 3.63162541389   || 0
zich            | gewelddadig     | 12.1632995605   <-> 12.2510318756   || 0
gewelddadig     | op              | 2.47248649597   <-> 2.53076863289   || 0
op              | tegen           | 5.56444787979   <-> 5.13995742798   || 1
tegen           | zijn            | 3.49560642242   <-> 3.43900918961   || 1
zijn            | eerste          | 4.28866004944   <-> 4.3353562355    || 0
eerste          | vervolgens      | 13.5569877625   <-> 12.7590837479   || 1
vervolgens      | tegen           | 5.21737861633   <-> 5.62118244171   || 0
tegen           | zijn            | 3.6461353302    <-> 3.56356167793   || 1
zijn            | tweede          | 5.37835216522   <-> 5.35180473328   || 1
tweede          | en              | 4.67733097076   <-> 5.10286235809   || 0
en              | tenslotte       | 9.97812747955   <-> 11.1952266693   || 0
tenslotte       | tegen           | 6.05543708801   <-> 6.18939113617   || 0
tegen           | zijn            | 3.7059879303    <-> 3.43627476692   || 1
zijn            | derde           | 5.71047115326   <-> 6.39312744141   || 0
derde           | echtgenote      | 8.17207527161   <-> 7.07763814926   || 1
echtgenote      | volgde          | 9.13823795319   <-> 11.2633695602   || 0
volgde          | een             | 3.28590488434   <-> 3.02175450325   || 1
een             | <UNK>           | 1.66836202145   <-> 2.01196360588   || 0
<UNK>           | in              | 2.78159093857   <-> 2.77439928055   || 1
in              | de              | 1.26181769371   <-> 1.13492012024   || 1
de              | Betty           | 13.7986850739   <-> 13.5726795197   || 1
Betty           | Ford            | 9.18842029572   <-> 10.2596244812   || 0
Ford            | kliniek         | 14.2404327393   <-> 15.0246706009   || 0
kliniek         | zwoer           | 12.6362514496   <-> 12.4111461639   || 1
zwoer           | de              | 1.95614600182   <-> 2.24773550034   || 0
de              | drank           | 10.0463199615   <-> 9.60601806641   || 1
drank           | af              | 5.50553941727   <-> 5.2618265152    || 1
af              | won             | 12.4997138977   <-> 11.6779327393   || 1
won             | de              | 1.96322226524   <-> 2.18705844879   || 0
de              | British         | 11.0173015594   <-> 11.0985069275   || 0
British         | Open            | 5.05687904358   <-> 2.98095202446   || 1
Open            | op              | 4.21776580811   <-> 5.33902931213   || 0
op              | de              | 1.32084321976   <-> 1.49729084969   || 0
de              | heilige         | 9.4435634613    <-> 8.53063583374   || 1
heilige         | Old             | 8.55185699463   <-> 8.98107624054   || 0
Old             | <UNK>           | 1.30413377285   <-> 1.26921415329   || 1
<UNK>           | van             | 2.95345568657   <-> 2.28981471062   || 1
van             | Saint           | 9.50473403931   <-> 9.50566005707   || 0
Saint           | Andrews         | 11.1828727722   <-> 10.0541095734   || 1
Andrews         | raakte          | 10.3267946243   <-> 9.34482288361   || 1
raakte          | weer            | 6.5144405365    <-> 6.43105983734   || 1
weer            | aan             | 4.21781253815   <-> 4.03607463837   || 1
aan             | de              | 1.22191214561   <-> 1.01407432556   || 1
de              | drank           | 8.86362838745   <-> 8.43816184998   || 1
drank           | gaf             | 9.90544223785   <-> 9.93477630615   || 0
gaf             | zijn            | 4.4671163559    <-> 4.10295963287   || 1
zijn            | tweede          | 6.19129753113   <-> 5.52530384064   || 1
tweede          | vrouw           | 5.22568368912   <-> 4.94860076904   || 1
vrouw           | een             | 2.97487926483   <-> 3.68047904968   || 0
een             | ongelukkige     | 8.80591583252   <-> 8.54701709747   || 1
ongelukkige     | slag            | 8.60894107819   <-> 7.70108795166   || 1
slag            | enzovoort       | 11.2220993042   <-> 10.8294458389   || 1
enzovoort       | enzovoort       | 10.127248764    <-> 10.4849023819   || 0
enzovoort       | </s>            | 0.364114016294  <-> 0.276524245739  || 1
<s>             | dat             | 3.93316459656   <-> 3.78501629829   || 1
dat             | alles           | 6.72454690933   <-> 6.86974000931   || 0
alles           | was             | 2.93165683746   <-> 3.22998285294   || 0
was             | niets           | 6.38196754456   <-> 6.21059036255   || 1
niets           | vergeleken      | 9.40042877197   <-> 8.55577468872   || 1
vergeleken      | bij             | 4.97649812698   <-> 4.78898334503   || 1
bij             | wat             | 5.69116830826   <-> 5.65201663971   || 1
wat             | hem             | 5.43834686279   <-> 5.44446849823   || 0
hem             | overkwam        | 9.56339454651   <-> 9.35527229309   || 1
overkwam        | in              | 3.53434228897   <-> 3.69025826454   || 0
in              | de              | 1.16538345814   <-> 1.17422044277   || 0
de              | slotronde       | 10.0113286972   <-> 8.84571266174   || 1
slotronde       | van             | 2.22256088257   <-> 2.55415439606   || 0
van             | de              | 1.11715316772   <-> 1.3481887579    || 0
de              | US              | 8.23571109772   <-> 7.21048688889   || 1
US              | Open            | 1.21889269352   <-> 0.16072294116   || 1
Open            | op              | 4.8092918396    <-> 5.8679265976    || 0
op              | de              | 1.14171409607   <-> 1.32470929623   || 0
de              | achtste         | 6.90938949585   <-> 6.59504508972   || 1
achtste         | hole            | 12.1457967758   <-> 9.12393379211   || 1
hole            | van             | 2.66953420639   <-> 2.25936198235   || 1
van             | <UNK>           | 2.71080684662   <-> 2.88039088249   || 0
<UNK>           | </s>            | 0.826415419579  <-> 0.607115864754  || 1
<s>             | voor            | 4.61495113373   <-> 4.7514834404    || 0
voor            | </s>            | 8.17169380188   <-> 6.94281196594   || 1
<s>             | <UNK>           | 3.16845321655   <-> 2.88345003128   || 1
<UNK>           | meteen          | 8.8640460968    <-> 8.89934635162   || 0
meteen          | omgedoopt       | 10.870303154    <-> 10.9869117737   || 0
omgedoopt       | tot             | 1.80500996113   <-> 0.411207258701  || 1
tot             | <UNK>           | 2.41265249252   <-> 2.39394927025   || 1
<UNK>           | </s>            | 1.1451536417    <-> 1.72883367538   || 0
<s>             | gelukkig        | 8.3150510788    <-> 7.78049755096   || 1
gelukkig        | ligt            | 5.86955881119   <-> 5.64443635941   || 1
ligt            | die             | 5.63377094269   <-> 5.78801012039   || 0
die             | achtste         | 8.70793628693   <-> 9.08839416504   || 0
achtste         | nogal           | 9.32571315765   <-> 9.99552345276   || 0
nogal           | ver             | 6.36730575562   <-> 4.53064823151   || 1
ver             | van             | 1.46496534348   <-> 2.07076501846   || 0
van             | het             | 2.14517617226   <-> 1.81633365154   || 1
het             | <UNK>           | 1.75422859192   <-> 2.0998506546    || 0
<UNK>           | of              | 5.36715316772   <-> 5.48066568375   || 0
of              | <UNK>           | 2.57843589783   <-> 2.49565076828   || 1
<UNK>           | had             | 7.05408573151   <-> 6.7136592865    || 1
had             | zijn            | 4.7930226326    <-> 4.55791282654   || 1
zijn            | clubs           | 9.43263626099   <-> 10.1471385956   || 0
clubs           | weggegooid      | 10.8267679214   <-> 10.4331922531   || 1
weggegooid      | en              | 2.76964116096   <-> 2.519998312     || 1
en              | zich            | 6.67315387726   <-> 7.71973562241   || 0
zich            | terstond        | 13.2455787659   <-> 12.1290435791   || 1
terstond        | weer            | 5.99062919617   <-> 5.17047595978   || 1
weer            | in              | 2.71032595634   <-> 2.63698172569   || 1
in              | de              | 1.20163428783   <-> 1.18847799301   || 1
de              | alcohol         | 11.179391861    <-> 12.6789808273   || 0
alcohol         | gestort         | 9.17413520813   <-> 8.61856079102   || 1
