input           | target          | original0       <-> cbow_mean_lstm0 || best model: 0:first, 1:second
professional    | is              | 6.49636030197   <-> 5.50041818619   || 1
is              | dat             | 3.36151432991   <-> 3.60701942444   || 0
dat             | een             | 3.12324810028   <-> 2.80804800987   || 1
een             | zware           | 6.60109233856   <-> 6.72029733658   || 0
zware           | misser          | 10.384563446    <-> 9.35250473022   || 1
misser          | </s>            | 1.74331390858   <-> 1.30455839634   || 1
<s>             | een             | 3.62756824493   <-> 3.61459541321   || 1
een             | double          | 11.6681528091   <-> 10.4019880295   || 1
double          | <UNK>           | 1.43365705013   <-> 1.07914221287   || 1
<UNK>           | ja              | 8.43649101257   <-> 10.2418079376   || 0
ja              | </s>            | 3.95816278458   <-> 2.35117530823   || 1
<s>             | twee            | 6.38432455063   <-> 5.59694576263   || 1
twee            | boven           | 10.0842409134   <-> 10.6444368362   || 0
boven           | paragraaf       | 13.3805751801   <-> 12.9378967285   || 1
paragraaf       | </s>            | 1.53481066227   <-> 2.27370619774   || 0
<s>             | courante        | 13.9552764893   <-> 13.8625736237   || 1
courante        | praktijk        | 10.8708925247   <-> 9.68781757355   || 1
praktijk        | voor            | 3.14273452759   <-> 4.12372589111   || 0
voor            | een             | 2.40430831909   <-> 2.62572813034   || 0
een             | amateur         | 10.5443105698   <-> 10.6753997803   || 0
amateur         | voor            | 4.09307193756   <-> 3.92123413086   || 1
voor            | een             | 2.27184987068   <-> 2.35598182678   || 0
een             | professional    | 11.0587387085   <-> 10.5389881134   || 1
professional    | een             | 4.90120697021   <-> 4.81364870071   || 1
een             | catastrofe      | 9.47862243652   <-> 9.66630649567   || 0
catastrofe      | </s>            | 1.3322404623    <-> 1.28630304337   || 1
<s>             | een             | 3.3727581501    <-> 3.57220315933   || 0
een             | triple          | 12.9606199265   <-> 11.9426174164   || 1
triple          | <UNK>           | 1.42848837376   <-> 1.27087593079   || 1
<UNK>           | daarvan         | 9.11311721802   <-> 9.3338136673    || 0
daarvan         | wordt           | 3.93157243729   <-> 3.50007390976   || 1
wordt           | een             | 2.43014144897   <-> 2.86816501617   || 0
een             | amateur         | 10.5524177551   <-> 9.82792854309   || 1
amateur         | zeer            | 8.35335159302   <-> 8.44500350952   || 0
zeer            | <UNK>           | 2.32497882843   <-> 3.27913498878   || 0
<UNK>           | een             | 4.7576789856    <-> 5.05349874496   || 0
een             | professional    | 11.1064596176   <-> 10.4777154922   || 1
professional    | die             | 3.60719466209   <-> 3.31239366531   || 1
die             | het             | 3.26224684715   <-> 3.10675048828   || 1
het             | overkomt        | 8.96210289001   <-> 8.66379165649   || 1
overkomt        | levert          | 8.75410175323   <-> 9.73519706726   || 0
levert          | zijn            | 4.225938797     <-> 4.67650365829   || 0
zijn            | clubs           | 11.2070512772   <-> 10.109126091    || 1
clubs           | in              | 2.94019579887   <-> 2.50637483597   || 1
in              | </s>            | 2.75510644913   <-> 3.08571410179   || 0
<s>             | met             | 4.50248765945   <-> 4.58144378662   || 0
met             | <UNK>           | 2.9268116951    <-> 3.00540733337   || 0
<UNK>           | boven           | 8.58613586426   <-> 8.74395465851   || 0
boven           | par             | 13.3539485931   <-> 12.4987258911   || 1
par             | zijn            | 6.30486297607   <-> 6.97259378433   || 0
zijn            | we              | 5.30744743347   <-> 4.21499729156   || 1
we              | bij             | 5.0947971344    <-> 5.319272995     || 0
bij             | <UNK>           | 2.75980520248   <-> 2.67426252365   || 1
<UNK>           | </s>            | 2.16508865356   <-> 1.89094614983   || 1
<s>             | schijnt         | 12.234834671    <-> 12.8318881989   || 0
schijnt         | één           | 7.32552242279   <-> 6.65876197815   || 1
één           | keer            | 3.74675369263   <-> 3.88340044022   || 0
keer            | per             | 6.4796037674    <-> 5.73911762238   || 1
per             | halve           | 8.47886657715   <-> 8.26769447327   || 1
halve           | eeuw            | 5.62365961075   <-> 3.6717684269    || 1
eeuw            | voor            | 4.17715930939   <-> 3.20385670662   || 1
voor            | te              | 4.54482555389   <-> 3.00026130676   || 1
te              | komen           | 3.97349119186   <-> 4.46421813965   || 0
komen           | in              | 3.22977685928   <-> 3.4237370491    || 0
in              | het             | 2.02052950859   <-> 1.91996598244   || 1
het             | professionele   | 9.71067905426   <-> 9.67061901093   || 1
professionele   | golf            | 11.3890705109   <-> 10.9581928253   || 1
golf            | maar            | 5.34573888779   <-> 4.63955354691   || 1
maar            | niemand         | 7.03544902802   <-> 7.04826545715   || 0
niemand         | weet            | 4.22646045685   <-> 4.08399152756   || 1
weet            | waar            | 6.70506000519   <-> 6.49649047852   || 1
waar            | </s>            | 5.27214813232   <-> 6.02911090851   || 0
<s>             | bij             | 5.11093235016   <-> 4.88899040222   || 1
bij             | analogie        | 11.1309728622   <-> 12.7409534454   || 0
analogie        | moet            | 5.58565330505   <-> 5.59303569794   || 0
moet            | vijf            | 8.44062232971   <-> 7.26370286942   || 1
vijf            | boven           | 9.59891986847   <-> 9.66262340546   || 0
boven           | par             | 14.5898284912   <-> 13.8977689743   || 1
par             | dan             | 6.67796754837   <-> 8.85412788391   || 0
dan             | een             | 2.2378411293    <-> 2.80033063889   || 0
een             | <UNK>           | 1.89252460003   <-> 1.89925134182   || 0
<UNK>           | <UNK>           | 2.74762701988   <-> 2.46503543854   || 1
<UNK>           | zijn            | 4.05903863907   <-> 3.83426594734   || 1
zijn            | </s>            | 1.23695254326   <-> 0.727194130421  || 1
<s>             | nooit           | 7.69998645782   <-> 7.79053783417   || 0
nooit           | tegengekomen    | 11.5693473816   <-> 11.8424663544   || 0
tegengekomen    | in              | 3.49418592453   <-> 3.54034376144   || 0
in              | de              | 1.17592334747   <-> 1.25283122063   || 0
de              | vakliteratuur   | 12.2324428558   <-> 11.1689014435   || 1
vakliteratuur   | </s>            | 1.59712600708   <-> 1.45198667049   || 1
<s>             | zes             | 7.46860456467   <-> 7.60824489594   || 0
zes             | zou             | 8.66418170929   <-> 9.05781841278   || 0
zou             | <UNK>           | 3.43387174606   <-> 3.71582508087   || 0
<UNK>           | kunnen          | 5.61184215546   <-> 4.64513301849   || 1
kunnen          | zijn            | 2.5912759304    <-> 3.31893062592   || 0
zijn            | al              | 6.05984401703   <-> 6.52447795868   || 0
al              | doet            | 7.3321814537    <-> 7.64608192444   || 0
doet            | dat             | 3.9738047123    <-> 3.49136638641   || 1
dat             | meer            | 5.84785842896   <-> 5.68791294098   || 1
meer            | denken          | 8.27400016785   <-> 8.3658657074    || 0
denken          | aan             | 3.61286592484   <-> 2.78353023529   || 1
aan             | een             | 2.44553232193   <-> 2.49574136734   || 0
een             | goedkope        | 8.04768562317   <-> 8.6077709198    || 0
goedkope        | gore            | 11.7240953445   <-> 11.840631485    || 0
gore            | tent            | 8.90029335022   <-> 9.11776828766   || 0
tent            | in              | 2.9653532505    <-> 3.11444330215   || 0
in              | Soho            | 11.9614200592   <-> 11.5177249908   || 1
Soho            | </s>            | 0.690528988838  <-> 0.532709956169  || 1
<s>             | en              | 4.20953273773   <-> 3.83829855919   || 1
en              | dan             | 3.66930389404   <-> 3.68718671799   || 0
dan             | zijn            | 3.54787778854   <-> 3.4471590519    || 1
zijn            | we              | 1.93139028549   <-> 2.30129790306   || 0
we              | er              | 3.8636739254    <-> 3.35592007637   || 1
er              | </s>            | 6.0387878418    <-> 5.47507810593   || 1
<s>             | John            | 8.81902503967   <-> 8.99685764313   || 0
John            | <UNK>           | 1.31285059452   <-> 1.25613677502   || 1
<UNK>           | op              | 4.74643993378   <-> 4.62703895569   || 1
op              | de              | 1.30409288406   <-> 1.30272674561   || 1
de              | US              | 9.1650352478    <-> 7.13732719421   || 1
US              | Open            | 1.14290380478   <-> 0.187263607979  || 1
Open            | van             | 2.96284365654   <-> 3.39489173889   || 0
van             | dit             | 5.32074165344   <-> 5.29205369949   || 1
dit             | jaar            | 0.763605177402  <-> 1.15723133087   || 0
jaar            | </s>            | 1.97753500938   <-> 1.80031299591   || 1
<s>             | de              | 1.8519974947    <-> 2.12807893753   || 0
de              | achtste         | 8.80850601196   <-> 8.89869976044   || 0
achtste         | hole            | 11.7931928635   <-> 10.8708953857   || 1
hole            | op              | 3.94823169708   <-> 3.99575328827   || 0
op              | de              | 1.14308214188   <-> 1.11162960529   || 1
de              | baan            | 7.53812217712   <-> 6.99255847931   || 1
baan            | van             | 2.10328030586   <-> 1.98200976849   || 1
van             | <UNK>           | 2.347843647     <-> 2.43652677536   || 0
<UNK>           | No              | 10.5282506943   <-> 10.7338323593   || 0
No              | </s>            | 3.77538108826   <-> 3.52398681641   || 1
<s>             | een             | 3.39050674438   <-> 3.59099555016   || 0
een             | par             | 12.7680482864   <-> 13.0669546127   || 0
par             | vier            | 8.34469795227   <-> 8.30184555054   || 1
vier            | komma           | 2.69885969162   <-> 3.19929838181   || 0
komma           | en              | 5.52428483963   <-> 4.49128389359   || 1
en              | niet            | 5.57401847839   <-> 5.54701471329   || 1
niet            | eens            | 5.30759811401   <-> 5.21015834808   || 1
eens            | een             | 2.81321287155   <-> 2.96763110161   || 0
een             | moeilijke       | 7.60408687592   <-> 7.21526861191   || 1
moeilijke       | </s>            | 7.88817119598   <-> 6.5998249054    || 1
<s>             | elf             | 8.12758827209   <-> 8.49626541138   || 0
elf             | slagen          | 10.7580795288   <-> 10.1890115738   || 1
slagen          | had             | 7.51709365845   <-> 7.02448749542   || 1
had             | hij             | 5.06402540207   <-> 3.48879885674   || 1
hij             | nodig           | 6.37719106674   <-> 6.13563632965   || 1
nodig           | </s>            | 1.5086414814    <-> 1.17406463623   || 1
<s>             | elf             | 8.55987453461   <-> 8.363240242     || 1
elf             | </s>            | 5.62853813171   <-> 4.96791553497   || 1
<s>             | waaronder       | 11.6747598648   <-> 11.6221914291   || 1
waaronder       | twee            | 4.2133436203    <-> 4.45511293411   || 0
twee            | <UNK>           | 3.34116315842   <-> 2.98226308823   || 1
<UNK>           | omdat           | 8.07491493225   <-> 7.65947246552   || 1
omdat           | hij             | 2.18297958374   <-> 2.66360807419   || 0
hij             | van             | 4.85961723328   <-> 4.73519229889   || 1
van             | <UNK>           | 2.72722482681   <-> 2.91950416565   || 0
<UNK>           | op              | 4.22551822662   <-> 4.3404083252    || 0
op              | een             | 2.27283525467   <-> 2.39309501648   || 0
een             | <UNK>           | 1.87667942047   <-> 2.04664754868   || 0
<UNK>           | bal             | 10.3258132935   <-> 9.40869235992   || 1
bal             | had             | 3.76534032822   <-> 4.46783590317   || 0
had             | <UNK>           | 3.29568624496   <-> 3.5138361454    || 0
<UNK>           | </s>            | 1.63166797161   <-> 1.88376379013   || 0
<s>             | toen            | 5.18239688873   <-> 5.34140348434   || 0
toen            | hij             | 1.96630525589   <-> 2.32539057732   || 0
hij             | na              | 4.76811408997   <-> 4.71285247803   || 1
na              | zijn            | 3.28356814384   <-> 2.84296035767   || 1
zijn            | achtste         | 7.03370094299   <-> 6.30007600784   || 1
achtste         | shot            | 10.9170837402   <-> 10.3978023529   || 1
shot            | eindelijk       | 7.06589126587   <-> 7.02230072021   || 1
eindelijk       | op              | 3.98376345634   <-> 3.71402907372   || 1
op              | de              | 1.37987720966   <-> 1.42187225819   || 0
de              | green           | 12.2761707306   <-> 12.6799583435   || 0
green           | lag             | 7.5964345932    <-> 6.04068756104   || 1
lag             | waar            | 6.25869178772   <-> 6.69452476501   || 0
waar            | hij             | 1.93021416664   <-> 1.7848829031    || 1
hij             | met             | 3.97542881966   <-> 4.00037574768   || 0
met             | zijn            | 3.15443348885   <-> 2.95550775528   || 1
zijn            | tweede          | 5.69075775146   <-> 4.97564029694   || 1
tweede          | dwars           | 13.1995820999   <-> 13.2099933624   || 0
dwars           | doorheen        | 9.13670825958   <-> 8.82023620605   || 1
doorheen        | was             | 5.90086269379   <-> 6.49026107788   || 0
was             | <UNK>           | 3.60947751999   <-> 3.67017912865   || 0
<UNK>           | had             | 5.90960168839   <-> 4.85478019714   || 1
had             | hij             | 1.57578980923   <-> 1.483741045     || 1
hij             | nog             | 3.81372594833   <-> 3.56345677376   || 1
nog             | eens            | 3.52900886536   <-> 3.36710834503   || 1
eens            | drie            | 5.65686798096   <-> 5.59038925171   || 1
drie            | <UNK>           | 3.16093349457   <-> 3.09322547913   || 1
<UNK>           | nodig           | 5.43381404877   <-> 5.39080762863   || 1
nodig           | </s>            | 0.680479764938  <-> 0.694652020931  || 0
<s>             | lezers          | 10.9623699188   <-> 11.3760147095   || 0
lezers          | van             | 2.94308328629   <-> 2.53752636909   || 1
van             | Knack           | 9.91069316864   <-> 10.4610109329   || 0
Knack           | kennen          | 7.13738965988   <-> 7.70315122604   || 0
kennen          | John            | 9.39416217804   <-> 9.25081253052   || 1
John            | <UNK>           | 1.3537299633    <-> 1.55246496201   || 0
<UNK>           | wij             | 9.68338871002   <-> 10.5113630295   || 0
wij             | hebben          | 5.21406126022   <-> 4.94263935089   || 1
hebben          | u               | 7.53283834457   <-> 7.37987565994   || 1
u               | al              | 4.05963516235   <-> 3.8779630661    || 1
al              | meermaals       | 7.31463813782   <-> 7.09362125397   || 1
meermaals       | over            | 5.21574926376   <-> 4.76571512222   || 1
over            | hem             | 4.90941572189   <-> 4.68987369537   || 1
hem             | verteld         | 6.26409101486   <-> 5.83012485504   || 1
verteld         | </s>            | 0.530095815659  <-> 0.473258644342  || 1
<s>             | een             | 3.60508441925   <-> 3.71449184418   || 0
een             | <UNK>           | 1.80322408676   <-> 1.96806514263   || 0
<UNK>           | buiten          | 8.47009086609   <-> 8.80321025848   || 0
buiten          | categorie       | 10.9926815033   <-> 10.5309934616   || 1
categorie       | die             | 4.00770378113   <-> 4.51723527908   || 0
die             | in              | 3.08470726013   <-> 3.09366846085   || 0
in              | negentien       | 3.1465344429    <-> 3.26337814331   || 0
negentien       | honderd         | 0.00471325870603 <-> 0.00566531717777 || 0
honderd         | één-en        | 2.65647983551   <-> 2.92992591858   || 0
één-en        | negentig        | 0.808912873268  <-> 0.49429410696   || 1
negentig        | door            | 4.66422748566   <-> 4.69669818878   || 0
door            | de              | 1.00137519836   <-> 1.10979413986   || 0
de              | vele            | 6.95362472534   <-> 7.07522201538   || 0
vele            | forfaits        | 12.2425270081   <-> 11.4049882889   || 1
forfaits        | per             | 7.75009584427   <-> 8.58801174164   || 0
per             | ongeluk         | 4.01629829407   <-> 3.33938837051   || 1
ongeluk         | in              | 3.00948429108   <-> 2.61910247803   || 1
in              | de              | 1.21145796776   <-> 1.26441454887   || 0
de              | <UNK>           | 2.12212014198   <-> 2.44202041626   || 0
<UNK>           | van             | 2.25831747055   <-> 2.17594957352   || 1
van             | de              | 1.23939323425   <-> 1.08902871609   || 1
de              | US              | 8.811170578     <-> 6.99695396423   || 1
US              | <UNK>           | 1.28341126442   <-> 2.87683296204   || 0
<UNK>           | op              | 4.166410923     <-> 4.12395858765   || 1
op              | <UNK>           | 3.23656821251   <-> 3.57048225403   || 0
<UNK>           | <UNK>           | 2.5793492794    <-> 3.05394339561   || 0
<UNK>           | geraakte        | 9.06100082397   <-> 7.96928310394   || 1
geraakte        | </s>            | 1.59705710411   <-> 1.63302206993   || 0
<s>             | <UNK>           | 2.98750209808   <-> 2.96782588959   || 1
<UNK>           | pas             | 8.30111885071   <-> 8.3757019043    || 0
pas             | in              | 2.33120632172   <-> 2.59980821609   || 0
in              | extremis        | 7.9770565033    <-> 7.79099273682   || 1
extremis        | opgeroepen      | 9.99767971039   <-> 10.8477554321   || 0
opgeroepen      | kwam            | 6.5651845932    <-> 7.08054447174   || 0
kwam            | net             | 6.52613830566   <-> 7.04783058167   || 0
net             | op              | 2.52819466591   <-> 3.45478653908   || 0
op              | tijd            | 7.07155561447   <-> 6.80759334564   || 1
tijd            | in              | 2.89063835144   <-> 3.08730888367   || 0
in              | Indianapolis    | 10.9749126434   <-> 10.3664598465   || 1
Indianapolis    | aan             | 4.63364362717   <-> 4.49424314499   || 1
aan             | om              | 5.00861930847   <-> 4.99341726303   || 1
om              | van             | 4.81144142151   <-> 5.23020792007   || 0
van             | start           | 7.73232841492   <-> 7.09093952179   || 1
start           | te              | 1.21012234688   <-> 0.923236608505  || 1
te              | kunnen          | 4.23660326004   <-> 4.20906209946   || 1
kunnen          | gaan            | 3.27577137947   <-> 3.57194805145   || 0
gaan            | in              | 3.48349571228   <-> 3.55960655212   || 0
in              | de              | 1.08161389828   <-> 1.14611816406   || 0
de              | eerste          | 3.63365507126   <-> 3.45976305008   || 1
eerste          | ronde           | 2.0380449295    <-> 1.72940790653   || 1
ronde           | moest           | 7.87506484985   <-> 9.18109035492   || 0
moest           | clubs           | 11.173582077    <-> 12.1129322052   || 0
clubs           | en              | 3.57759046555   <-> 3.48203587532   || 1
en              | een             | 3.32021450996   <-> 3.36184811592   || 0
een             | <UNK>           | 1.81664872169   <-> 1.83351898193   || 0
<UNK>           | lenen           | 10.0421724319   <-> 10.0860977173   || 0
lenen           | en              | 3.29951810837   <-> 3.21468114853   || 1
en              | won             | 8.3104391098    <-> 8.86114597321   || 0
won             | tot             | 5.42410469055   <-> 5.16416549683   || 1
tot             | <UNK>           | 3.653870821     <-> 3.81810164452   || 0
<UNK>           | verbijstering   | 12.3745756149   <-> 11.9221487045   || 1
verbijstering   | het             | 5.35148048401   <-> 5.01005506516   || 1
het             | toernooi        | 8.32333660126   <-> 8.23826885223   || 1
toernooi        | </s>            | 2.06363463402   <-> 1.68012499809   || 1
<s>             | John            | 8.01948833466   <-> 7.94761991501   || 1
John            | wie             | 11.9327535629   <-> 11.2656812668   || 1
wie             | zonder          | 6.89409351349   <-> 6.81776809692   || 1
zonder          | zonde           | 10.3248262405   <-> 10.8987045288   || 0
zonde           | is              | 2.31973433495   <-> 2.20743060112   || 1
is              | <UNK>           | 4.15378665924   <-> 4.97415494919   || 0
<UNK>           | de              | 2.2889418602    <-> 2.83528852463   || 0
de              | eerste          | 4.06603574753   <-> 4.15710449219   || 0
eerste          | steen           | 7.08846569061   <-> 7.72690582275   || 0
steen           | raakte          | 10.0694179535   <-> 11.256193161    || 0
raakte          | daarna          | 7.06137180328   <-> 7.71971225739   || 0
daarna          | aan             | 4.64073753357   <-> 4.35244464874   || 1
aan             | de              | 1.07216823101   <-> 1.13316893578   || 0
de              | drank           | 9.27115440369   <-> 8.72644901276   || 1
drank           | </s>            | 1.19046187401   <-> 0.9029109478    || 1
<s>             | hij             | 3.12394285202   <-> 3.97109746933   || 0
hij             | stelde          | 5.96304798126   <-> 5.78902626038   || 1
stelde          | zich            | 3.00938987732   <-> 3.12504792213   || 0
zich            | gewelddadig     | 12.1632995605   <-> 12.974899292    || 0
gewelddadig     | op              | 2.47248649597   <-> 2.31901693344   || 1
op              | tegen           | 5.56444787979   <-> 5.34169864655   || 1
tegen           | zijn            | 3.49560642242   <-> 3.68628525734   || 0
zijn            | eerste          | 4.28866004944   <-> 3.83674860001   || 1
eerste          | vervolgens      | 13.5569877625   <-> 12.9594364166   || 1
vervolgens      | tegen           | 5.21737861633   <-> 4.942735672     || 1
tegen           | zijn            | 3.6461353302    <-> 3.65216493607   || 0
zijn            | tweede          | 5.37835216522   <-> 4.22943353653   || 1
tweede          | en              | 4.67733097076   <-> 5.8446803093    || 0
en              | tenslotte       | 9.97812747955   <-> 11.1193351746   || 0
tenslotte       | tegen           | 6.05543708801   <-> 5.88915348053   || 1
tegen           | zijn            | 3.7059879303    <-> 3.58714866638   || 1
zijn            | derde           | 5.71047115326   <-> 4.96028232574   || 1
derde           | echtgenote      | 8.17207527161   <-> 7.84367847443   || 1
echtgenote      | volgde          | 9.13823795319   <-> 10.4983692169   || 0
volgde          | een             | 3.28590488434   <-> 2.99500584602   || 1
een             | <UNK>           | 1.66836202145   <-> 2.02253913879   || 0
<UNK>           | in              | 2.78159093857   <-> 2.87435078621   || 0
in              | de              | 1.26181769371   <-> 1.22571480274   || 1
de              | Betty           | 13.7986850739   <-> 14.1409387589   || 0
Betty           | Ford            | 9.18842029572   <-> 9.13032436371   || 1
Ford            | kliniek         | 14.2404327393   <-> 15.2357292175   || 0
kliniek         | zwoer           | 12.6362514496   <-> 12.7497911453   || 0
zwoer           | de              | 1.95614600182   <-> 2.03298521042   || 0
de              | drank           | 10.0463199615   <-> 10.188419342    || 0
drank           | af              | 5.50553941727   <-> 5.3558921814    || 1
af              | won             | 12.4997138977   <-> 12.0218677521   || 1
won             | de              | 1.96322226524   <-> 2.80658864975   || 0
de              | British         | 11.0173015594   <-> 11.125213623    || 0
British         | Open            | 5.05687904358   <-> 1.57409465313   || 1
Open            | op              | 4.21776580811   <-> 3.96496582031   || 1
op              | de              | 1.32084321976   <-> 1.52882778645   || 0
de              | heilige         | 9.4435634613    <-> 9.98647403717   || 0
heilige         | Old             | 8.55185699463   <-> 8.38500595093   || 1
Old             | <UNK>           | 1.30413377285   <-> 1.36903321743   || 0
<UNK>           | van             | 2.95345568657   <-> 2.49942493439   || 1
van             | Saint           | 9.50473403931   <-> 9.23428726196   || 1
Saint           | Andrews         | 11.1828727722   <-> 10.7479143143   || 1
Andrews         | raakte          | 10.3267946243   <-> 10.5885505676   || 0
raakte          | weer            | 6.5144405365    <-> 6.44735431671   || 1
weer            | aan             | 4.21781253815   <-> 3.8177895546    || 1
aan             | de              | 1.22191214561   <-> 1.08509349823   || 1
de              | drank           | 8.86362838745   <-> 8.57795143127   || 1
drank           | gaf             | 9.90544223785   <-> 9.82462692261   || 1
gaf             | zijn            | 4.4671163559    <-> 4.3313035965    || 1
zijn            | tweede          | 6.19129753113   <-> 5.41247034073   || 1
tweede          | vrouw           | 5.22568368912   <-> 5.6347284317    || 0
vrouw           | een             | 2.97487926483   <-> 3.37011051178   || 0
een             | ongelukkige     | 8.80591583252   <-> 8.60416221619   || 1
ongelukkige     | slag            | 8.60894107819   <-> 7.82393598557   || 1
slag            | enzovoort       | 11.2220993042   <-> 11.0744085312   || 1
enzovoort       | enzovoort       | 10.127248764    <-> 10.1457586288   || 0
enzovoort       | </s>            | 0.364114016294  <-> 0.21662516892   || 1
<s>             | dat             | 3.93316459656   <-> 4.05188989639   || 0
dat             | alles           | 6.72454690933   <-> 6.62662792206   || 1
alles           | was             | 2.93165683746   <-> 3.4727101326    || 0
was             | niets           | 6.38196754456   <-> 6.89757633209   || 0
niets           | vergeleken      | 9.40042877197   <-> 7.95015716553   || 1
vergeleken      | bij             | 4.97649812698   <-> 4.61653280258   || 1
bij             | wat             | 5.69116830826   <-> 5.79419898987   || 0
wat             | hem             | 5.43834686279   <-> 5.19056510925   || 1
hem             | overkwam        | 9.56339454651   <-> 8.81926727295   || 1
overkwam        | in              | 3.53434228897   <-> 3.79809737206   || 0
in              | de              | 1.16538345814   <-> 1.27987456322   || 0
de              | slotronde       | 10.0113286972   <-> 8.87244606018   || 1
slotronde       | van             | 2.22256088257   <-> 2.41126656532   || 0
van             | de              | 1.11715316772   <-> 1.1623415947    || 0
de              | US              | 8.23571109772   <-> 6.77006053925   || 1
US              | Open            | 1.21889269352   <-> 0.193298131227  || 1
Open            | op              | 4.8092918396    <-> 4.95927524567   || 0
op              | de              | 1.14171409607   <-> 1.21748554707   || 0
de              | achtste         | 6.90938949585   <-> 6.87910747528   || 1
achtste         | hole            | 12.1457967758   <-> 10.105140686    || 1
hole            | van             | 2.66953420639   <-> 2.78463315964   || 0
van             | <UNK>           | 2.71080684662   <-> 2.653028965     || 1
<UNK>           | </s>            | 0.826415419579  <-> 0.736458003521  || 1
<s>             | voor            | 4.61495113373   <-> 4.74006080627   || 0
voor            | </s>            | 8.17169380188   <-> 6.70334339142   || 1
<s>             | <UNK>           | 3.16845321655   <-> 2.93744874001   || 1
<UNK>           | meteen          | 8.8640460968    <-> 9.43409156799   || 0
meteen          | omgedoopt       | 10.870303154    <-> 10.9655799866   || 0
omgedoopt       | tot             | 1.80500996113   <-> 0.842548310757  || 1
tot             | <UNK>           | 2.41265249252   <-> 2.43744111061   || 0
<UNK>           | </s>            | 1.1451536417    <-> 1.74135637283   || 0
<s>             | gelukkig        | 8.3150510788    <-> 7.07148694992   || 1
gelukkig        | ligt            | 5.86955881119   <-> 6.1178894043    || 0
ligt            | die             | 5.63377094269   <-> 5.52483081818   || 1
die             | achtste         | 8.70793628693   <-> 9.04553985596   || 0
achtste         | nogal           | 9.32571315765   <-> 9.65594005585   || 0
nogal           | ver             | 6.36730575562   <-> 5.53033399582   || 1
ver             | van             | 1.46496534348   <-> 1.53424799442   || 0
van             | het             | 2.14517617226   <-> 2.02987861633   || 1
het             | <UNK>           | 1.75422859192   <-> 1.91857469082   || 0
<UNK>           | of              | 5.36715316772   <-> 5.23140621185   || 1
of              | <UNK>           | 2.57843589783   <-> 2.57077288628   || 1
<UNK>           | had             | 7.05408573151   <-> 6.72635984421   || 1
had             | zijn            | 4.7930226326    <-> 4.34845781326   || 1
zijn            | clubs           | 9.43263626099   <-> 11.2850227356   || 0
clubs           | weggegooid      | 10.8267679214   <-> 11.0060138702   || 0
weggegooid      | en              | 2.76964116096   <-> 2.71108222008   || 1
en              | zich            | 6.67315387726   <-> 6.89194297791   || 0
zich            | terstond        | 13.2455787659   <-> 12.1772241592   || 1
terstond        | weer            | 5.99062919617   <-> 5.48344182968   || 1
weer            | in              | 2.71032595634   <-> 2.7392334938    || 0
in              | de              | 1.20163428783   <-> 1.31166362762   || 0
de              | alcohol         | 11.179391861    <-> 12.1576862335   || 0
alcohol         | gestort         | 9.17413520813   <-> 8.86851215363   || 1
